Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_Against,ZOE_For
2025-08-24_GC_A,Pressing For: 2,D2,L2,Good,5:5,,,,,Pressing,,,
2025-08-24_GC_A,Pressing For: 3,D2,L2,Good,5:5,,,,,Pressing,,,
2025-08-24_GC_A,Pressing For: 4,D3,L3,Good,5:5,,,,,Pressing,,,
2025-08-24_GC_A,Pressing For: 5,D3,L3,,5:5,,,,,,,,
2025-08-24_GC_A,Pressing For: 6,D3,L2,,5:5,,,,,,,,
2025-08-24_GC_A,Pressing For: 7,D3,L2,,5:5,,,,,,,,
2025-08-24_GC_A,Tor Gegner: 1,D1,L1,,5:5,Gezogen,,,,Zone-Exits,0.60,,
2025-08-24_GC_A,Tor Gegner: 2,D1,L2,,5:5,Gezogen,,,,"Zone-Exits, Penalty",0.60,,
2025-08-24_GC_A,Tor Tigers: 1,D1,PP1,,5:5,Handgelenk,,Matteo Steiner,Steiner Simon,,0.45,,
2025-08-24_GC_A,Tor Tigers: 2,D3,L3,,5:5,Direkt,,Nick Pfister,Steiner Simon,Pressing,0.75,,
2025-08-24_GC_A,Tor Tigers: 3,D3,L2,,5:5,,,Seya Schwarz,Luca Fankhauser,Standart,0.75,,
2025-08-24_GC_A,ZOE Against gg. Pressing: 1,D1,L2,,5:5,,,,,,,,
2025-08-24_GC_A,ZOE Against gg. Pressing: 2,D3,L1,,5:5,,,,,,,,
2025-08-24_GC_A,ZOE Against gg. Pressing: 3,D3,L3,,5:5,,,,,,,,
2025-08-24_GC_A,ZOE Against gg. Pressing: 4,D1,L2,,5:5,,,,,,,,
2025-08-24_GC_A,ZOE Against gg. Pressing: 5,D3,L2,,5:5,,,,,,,,
2025-08-24_GC_A,ZOE Against gg. Pressing: 6,D3,L1,,5:5,,,,,,,,
2025-08-24_GC_A,ZOE Against gg. Pressing: 7,D1,L3,,5:5,,,,,,,,
2025-08-24_GC_A,ZOE For: 1,D1,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 2,D1,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 3,D1,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 4,D1,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 5,D1,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 6,D1,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 7,D1,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 8,D2,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 9,D2,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 10,D2,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 11,D2,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 12,D2,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 13,D2,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 14,D2,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 15,D2,L1,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 16,D2,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 17,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 18,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 19,D3,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_GC_A,ZOE For: 20,D3,L3,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 21,D3,L2,,5:5,,,,,Auslösung,,,Good
2025-08-24_GC_A,ZOE For: 22,D3,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_GC_A,ZOE For: 23,D3,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_GC_A,ZOE For gg. Pressing: 1,,L3,,5:5,,,,,Auslösung,,,Bad
2025-08-24_GC_A,ZOE For gg. Pressing: 2,,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_GC_A,ZOE For gg. Pressing: 3,,L2,,5:5,,,,,Auslösung,,,Bad
2025-08-24_GC_A,ZOE For gg. Pressing: 4,,L1,,5:5,,,,,Auslösung,,,Bad
2025-08-24_GC_A,ZOE Gegner: 1,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 2,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 3,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 4,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 5,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 6,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 7,D1,L2,,5:5,,,,,Auslösung,,Good,
