Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-21_vs_VF5,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 3,D1,L1,5:5,,Martin Mosimann,,,Auslösung,Bad,,,
2022-01-21_vs_VF5,ZOE For: 4,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 5,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 6,D2,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-21_vs_VF5,ZOE For: 7,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 8,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 9,D2,L2,5:5,,,,,Auslösung,Bad,,,
2022-01-21_vs_VF5,ZOE For: 10,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 11,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 12,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 13,D2,L1,5:5,,,,,Auslösung,Bad,,,
2022-01-21_vs_VF5,ZOE For: 14,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 15,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-21_vs_VF5,ZOE For: 16,D3,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-21_vs_VF5,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-21_vs_VF5,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-21_vs_VF5,ZOE Gegner: 3,D1,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-21_vs_VF5,ZOE Gegner: 4,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-21_vs_VF5,ZOE Gegner: 5,D1,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-21_vs_VF5,ZOE Gegner: 6,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-21_vs_VF5,ZOE Gegner: 7,D1,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-21_vs_VF5,ZOE Gegner: 8,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-21_vs_VF5,ZOE Gegner: 9,D2,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-21_vs_VF5,ZOE Gegner: 10,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-21_vs_VF5,ZOE Gegner: 11,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-21_vs_VF5,ZOE Gegner: 12,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-21_vs_VF5,Low Q Chance For: 1,D1,L1,5:5,0.2,Matteo Steiner,,,Standart,,,,
2022-01-21_vs_VF5,Low Q Chance For: 2,D1,,5:5,"Gezogen, 0.2",Simon Steiner,,,Konter,,,,
2022-01-21_vs_VF5,Low Q Chance For: 3,D1,L2,5:5,"Handgelenk, 0.3",Simon Steiner,,,Konter,,,,
2022-01-21_vs_VF5,Low Q Chance For: 4,D1,L2,5:5,"Direkt, 0.1",Gustav Svensson,,,Festsetzen,,,,
2022-01-21_vs_VF5,Low Q Chance For: 5,D1,L1,5:5,0.2,Matteo Steiner,,,Konter,,,,
2022-01-21_vs_VF5,Low Q Chance For: 6,D1,L2,5:5,"Gezogen, 0.2",Simon Steiner,,,Konter,,,,
2022-01-21_vs_VF5,Low Q Chance For: 7,D2,L2,5:5,"Gezogen, 0.3",Gustav Svensson,,,Festsetzen,,,,
2022-01-21_vs_VF5,Low Q Chance For: 8,D2,L3,5:5,"0.1, Gezogen",Martin Mosimann,,,Auslösung,,,,
2022-01-21_vs_VF5,Low Q Chance For: 9,D2,L3,5:5,0.1,Jan Ewald,,,Standart,,,,
2022-01-21_vs_VF5,Low Q Chance For: 10,D2,,5:5,"0.1, Volley",Kevin Kropf,,,Auslösung,,,,
2022-01-21_vs_VF5,Low Q Chance For: 11,D2,,5:5,"0.2, Gezogen",Simon Steiner,,,Auslösung,,,,
2022-01-21_vs_VF5,Low Q Chance For: 12,D2,L1,5:5,,Marco Oliver Gerber,,,Pressing,,,,
2022-01-21_vs_VF5,Low Q Chance For: 13,D2,L2,5:5,"0.1, Direkt",Simon Steiner,,,Auslösung,,,,
2022-01-21_vs_VF5,Low Q Chance For: 14,D2,L1,5:5,"0.1, Direkt",Marco Oliver Gerber,,,Standart,,,,
2022-01-21_vs_VF5,Low Q Chance For: 15,D2,,5:5,0.1,Kevin Kropf,,,Auslösung,,,,
2022-01-21_vs_VF5,Low Q Chance For: 16,D2,,5:5,"0.1, Direkt",Gustav Svensson,,,Standart,,,,
2022-01-21_vs_VF5,Low Q Chance For: 17,D2,,5:5,"Handgelenk, 0.2",Marco Oliver Gerber,,,Auslösung,,,,
2022-01-21_vs_VF5,Low Q Chance For: 18,D2,L1,5:5,"0.1, Gezogen","Marco Oliver Gerber, Marco Oliver Gerber",,,Auslösung,,,,
2022-01-21_vs_VF5,Low Q Chance For: 19,D2,,5:5,"0.2, Direkt",Simon Steiner,,,Auslösung,,,,
2022-01-21_vs_VF5,Low Q Chance For: 20,D2,L1,5:5,"0.2, Gezogen",Maurice Aebersold,,,Konter,,,,
2022-01-21_vs_VF5,Low Q Chance For: 21,D3,,5:5,Gezogen,"Matteo Steiner, Matteo Steiner",,,Festsetzen,,,,
2022-01-21_vs_VF5,Low Q Chance For: 22,D3,L1,5:5,"0.2, Direkt",Martin Mosimann,,,Standart,,,,
2022-01-21_vs_VF5,Low Q Chance For: 23,D3,L1,5:5,"0.2, Gezogen",Simon Steiner,,,Festsetzen,,,,
2022-01-21_vs_VF5,Low Q Chance For: 24,D3,L2,5:5,0.3,Simon Steiner,,,Festsetzen,,,,
2022-01-21_vs_VF5,Low Q Chance For: 25,D3,L2,5:5,"0.1, 0.1, Gezogen",Simon Steiner,,,Festsetzen,,,,
2022-01-21_vs_VF5,Low Q Chance For: 26,D3,L2,5:5,"0.1, Direkt",Simon Steiner,,,Festsetzen,,,,
