Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Taktische Spielsituation,ZOE_For,ZOE_Against,Schussmetrik,Schusslabels
2022-01-23_VF6FBK,Low Q Chance Against: 8,D2,L3,5:5,Gezogen,,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 9,D2,L3,5:5,Gezogen,,Standart,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 10,D2,L3,5:5,Gezogen,,Konter,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 11,D2,L1,5:5,Gezogen,,Konter,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 12,D2,L2,5:5,Gezogen,,Konter,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 13,D2,L2,5:5,Handgelenk,,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 14,D3,L1,5:5,Gezogen,,Konter,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 15,D3,L1,5:5,Handgelenk,,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 16,D3,L2,5:5,Gezogen,,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 17,D3,L2,5:5,Gezogen,,Standart,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 18,D3,L1,5:5,Gezogen,,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 19,D3,L1,5:5,Gezogen,,Festsetzen,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 20,D3,L1,5:5,Direkt,,Konter,,,,
2022-01-23_VF6FBK,Low Q Chance Against: 21,OT,L2,5:5,Handgelenk,,Auslösung,,,,
2022-01-23_VF6FBK,Mid Q Chance Against: 1,D1,L2,5:5,Direkt,,Auslösung,,,,
2022-01-23_VF6FBK,Mid Q Chance Against: 2,D1,L1,5:5,Gezogen,,Konter,,,,
2022-01-23_VF6FBK,Mid Q Chance Against: 3,D2,L2,5:5,Gezogen,,Festsetzen,,,,
2022-01-23_VF6FBK,Mid Q Chance Against: 4,D2,L3,5:5,Gezogen,,Standart,,,,
2022-01-23_VF6FBK,Mid Q Chance Against: 5,D2,L2,5:5,Gezogen,,Konter,,,,
2022-01-23_VF6FBK,Mid Q Chance Against: 6,D2,L1,5:5,Gezogen,,Auslösung,,,,
2022-01-23_VF6FBK,Mid Q Chance Against: 7,D3,L1,5:5,Handgelenk,,Auslösung,,,,
2022-01-23_VF6FBK,Mid Q Chance Against: 8,D3,L2,5:5,Gezogen,,Konter,,,,
2022-01-23_VF6FBK,Pot + Chance F: 1,D1,L3,5:5,Volley,,Konter,,,,
2022-01-23_VF6FBK,Mid Q Chance For: 1,D1,L2,5:5,Gezogen,Janis Lauber,Konter,,,,
2022-01-23_VF6FBK,Mid Q Chance For: 2,D2,L2,5:5,Handgelenk,Kevin Kropf,Konter,,,,
2022-01-23_VF6FBK,Mid Q Chance For: 3,D3,L2,5:5,Gezogen,Gustav Svensson,Auslösung,,,,
2022-01-23_VF6FBK,Mid Q Chance For: 4,D3,L2,5:5,Direkt,Simon Steiner,Festsetzen,,,,
2022-01-23_VF6FBK,Pot + Chance Against: 1,D1,L1,5:5,Direkt,,Nachsetzen,,,,
2022-01-23_VF6FBK,Pot + Chance Against: 2,D2,L3,5:5,Gezogen,,Konter,,,,
2022-01-23_VF6FBK,High Q Chance Against: 1,D2,L1,5:5,Direkt,,Standart,,,,
2022-01-23_VF6FBK,High Q Chance Against: 2,D3,L2,5:5,Direkt,,Auslösung,,,,
