Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-22_vs_PFVF4,ZOE For: 1,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 2,D1,,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 4,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 5,D1,L2,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 6,D1,L3,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 7,D1,L1,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 8,D1,L3,5:5,,,,,Auslösung,Bad,,,
2022-01-22_vs_PFVF4,ZOE For: 9,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 10,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 11,D2,L3,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 12,D2,L1,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 13,D2,L2,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 14,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 15,D3,L2,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 16,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE For: 17,D3,L1,5:5,,,,,Auslösung,Good,,,
2022-01-22_vs_PFVF4,ZOE Gegner: 1,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 2,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 3,D1,L3,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 4,D1,L1,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 5,D1,L2,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 6,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-22_vs_PFVF4,ZOE Gegner: 7,D1,L3,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 8,D1,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-22_vs_PFVF4,ZOE Gegner: 9,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-22_vs_PFVF4,ZOE Gegner: 10,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-22_vs_PFVF4,ZOE Gegner: 11,D2,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-22_vs_PFVF4,ZOE Gegner: 12,D2,L3,5:5,,,,,Auslösung,,Bad,,
2022-01-22_vs_PFVF4,ZOE Gegner: 13,D2,L1,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 14,D2,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-22_vs_PFVF4,ZOE Gegner: 15,D3,L3,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 16,D2,L2,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 17,D2,L3,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 18,D2,L3,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 19,D3,L2,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 20,D3,L2,5:5,,,,,Auslösung,,Bad,,
2022-01-22_vs_PFVF4,ZOE Gegner: 21,D3,L1,5:5,,,,,Auslösung,,Bad,,
2022-01-22_vs_PFVF4,ZOE Gegner: 22,D3,L2,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,ZOE Gegner: 23,D3,L1,5:5,,,,,Auslösung,,Good,,
2022-01-22_vs_PFVF4,Low Q Chance For: 14,D2,L1,5:5,Gezogen,Christian Stucki,,,Festsetzen,,,,
2022-01-22_vs_PFVF4,Low Q Chance Against: 8,D2,L2,5:5,Handgelenk,,,,Auslösung,,,,
2022-01-22_vs_PFVF4,Low Q Chance Against: 11,D3,L3,5:5,Gezogen,,,,Festsetzen,,,,
