Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schussart,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Gegner,Schussmetrik,Schusslabels
2022-01-05_vs_Thurgau,Tor Tigers: 4,D3,L1,5:5,Direkt,Christian Stucki,,0.4,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 8,D2,L2,5:5,Direkt,Simon Steiner,,0.3,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 12,D2,L1,5:5,Handgelenk,Christian Stucki,,0.3,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 18,D2,L2,5:5,Direkt,,,0.3,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 20,D2,L1,5:5,Handgelenk,,,0.3,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 27,D3,L1,5:5,Handgelenk,,,0.3,Konter,,,,
2022-01-05_vs_Thurgau,Mid Q Chance Against: 2,D1,L2,5:5,Direkt,,,0.3,Konter,,,,
2022-01-05_vs_Thurgau,Tor Gegner: 3,D2,L3,5:5,Handgelenk,,,0.3,Standart,,,,
2022-01-05_vs_Thurgau,Tor Gegner: 6,D3,L2,5:5,Direkt,,,0.3,Konter,,,,
2022-01-05_vs_Thurgau,Tor Tigers: 1,D1,L1,5:5,Handgelenk,Christian Stucki,,0.3,Konter,,,,
2022-01-05_vs_Thurgau,Tor Tigers: 2,D1,L2,5:5,Direkt,Simon Steiner,,0.3,Nachsetzen,,,,
2022-01-05_vs_Thurgau,Tor Tigers: 5,D2,L2,5:5,Gezogen,Kevin Kropf,,0.3,Festsetzen,,,,
2022-01-05_vs_Thurgau,Tor Tigers: 8,D3,PP1,5:4,Direkt,Simon Steiner,,0.3,,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 1,D1,L1,5:5,Direkt,Christian Stucki,,0.2,Auslösung,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 2,D1,L2,5:5,Gezogen,Simon Steiner,,0.2,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 4,D1,L1,5:5,Gezogen,Martin Mosimann,,0.2,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 5,D1,L1,5:5,Handgelenk,Christian Stucki,,0.2,Auslösung,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 6,D1,L3,5:5,Gezogen,Nick Pfister,,0.2,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 9,D2,L3,5:5,Handgelenk,Luca Fankhauser,,0.2,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 10,D2,L3,5:5,Handgelenk,Matteo Steiner,,0.2,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 11,D2,L1,5:5,Direkt,Marco Oliver Gerber,,0.2,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 13,D2,L1,5:5,Handgelenk,Marco Oliver Gerber,,0.2,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 14,D2,L2,5:5,Gezogen,Gustav Svensson,,0.2,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 19,D3,L1,5:5,Direkt,Stefan Siegenthaler,,0.2,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 2,D1,L1,5:5,Gezogen,,,0.2,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 3,D1,L2,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 5,D1,L2,5:5,Direkt,,,0.2,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 11,D1,L3,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 12,D2,L2,5:5,Handgelenk,,,0.2,Auslösung,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 13,D2,L2,5:5,Handgelenk,,,0.2,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 14,D2,L3,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 15,D2,L3,5:5,Handgelenk,,,0.2,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 16,D2,L1,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 17,D2,L2,5:5,Gezogen,,,0.2,Auslösung,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 19,D2,L1,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 22,D3,L1,5:5,Direkt,,,0.2,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 25,D3,L1,5:5,Handgelenk,,,0.2,Auslösung,,,,
2022-01-05_vs_Thurgau,Mid Q Chance Against: 1,D1,L3,5:5,Handgelenk,,,0.2,Nachsetzen,,,,
2022-01-05_vs_Thurgau,Tor Gegner: 4,D2,L2,5:5,Gezogen,,,0.2,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 3,D1,L1,5:5,Gezogen,Marco Oliver Gerber,,0.1,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 7,D1,L3,5:5,Gezogen,Matteo Steiner,,0.1,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 15,D3,L1,5:5,Gezogen,Stefan Siegenthaler,,0.1,Auslösung,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 16,D3,L2,5:5,Handgelenk,Luca Fankhauser,,0.1,Auslösung,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 17,D3,L2,5:5,Gezogen,Gustav Svensson,,0.1,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance For: 18,D3,L1,5:5,Gezogen,Stefan Siegenthaler,,0.1,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 1,D1,L2,5:5,Direkt,,,0.1,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 4,D1,L2,5:5,Gezogen,,,0.1,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 6,D1,L3,5:5,Handgelenk,,,0.1,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 7,D1,L3,5:5,Gezogen,,,0.1,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 8,D1,L1,5:5,Direkt,,,0.1,Festsetzen,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 21,D3,L1,5:5,"Direkt, Direkt",,,0.1,Auslösung,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 23,D3,,5:5,Gezogen,,,0.1,Konter,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 24,D3,L2,5:5,Direkt,,,0.1,Standart,,,,
2022-01-05_vs_Thurgau,Low Q Chance Against: 26,D3,L2,5:5,Gezogen,,,0.1,Festsetzen,,,,
2022-01-05_vs_Thurgau,Tor Tigers: 10,D3,L2,5:6,Volley,Kevin Kropf,,0.1,,,,,
