Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
VF_1_SVWE,Zone-Exits: 1,D1,L1,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,Zone-Exits: 2,D1,L1,,5:5,,,Auslösung,,Good,
VF_1_SVWE,Zone-Exits: 3,D1,L1,,5:5,,,Auslösung,,Good,
VF_1_SVWE,Zone-Exits: 4,D1,L3,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,Zone-Exits: 5,D1,L1,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,Zone-Exits: 6,D1,L1,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,Zone-Exits: 7,D2,L1,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE Gegner: 1,D1,L1,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 2,D1,L1,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 3,D1,L2,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 4,D1,L3,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 5,D1,L1,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 6,D1,L3,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 7,D2,L1,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 8,D2,L2,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 9,D2,L1,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 10,D2,L2,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 11,D2,L1,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 12,D3,L2,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE Gegner: 13,D3,L2,,5:5,,,Auslösung,,,Bad
VF_1_SVWE,ZOE Gegner: 14,D3,L1,,5:5,,,Auslösung,,,Good
VF_1_SVWE,ZOE For: 1,D1,L2,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,ZOE For: 2,D1,L3,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 3,D1,L2,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 4,D1,L3,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 5,D1,L2,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,ZOE For: 6,D1,L3,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,ZOE For: 7,D1,L1,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 8,D1,L3,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 9,D1,L2,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 10,D1,L2,,5:5,,Micha Strohl,Auslösung,,Bad,
VF_1_SVWE,ZOE For: 11,D1,L2,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 12,D1,L2,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 13,D1,L1,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,ZOE For: 14,D1,L1,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 15,D1,L2,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,ZOE For: 16,D2,L2,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 17,D2,L3,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 18,D2,L2,,5:5,,Thomas Gfeller,Auslösung,,Good,
VF_1_SVWE,ZOE For: 19,D2,L1,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 20,D2,L1,,5:5,Gezogen,,Auslösung,0.2,Good,
VF_1_SVWE,ZOE For: 21,D2,L3,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 22,D2,L2,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 23,D2,L2,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 24,D3,L1,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,ZOE For: 25,D3,L1,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,ZOE For: 26,D3,L2,,5:5,,,Auslösung,,Good,
VF_1_SVWE,ZOE For: 27,D3,L1,,5:5,,,Auslösung,,Bad,
VF_1_SVWE,Low Q Chance Against: 1,D1,L2,,5:5,Direkt,,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance Against: 2,D1,L2,,5:5,Gezogen,,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance Against: 3,D1,L1,,5:5,Gezogen,,Standart,0.1,,
VF_1_SVWE,Low Q Chance Against: 4,D1,L1,,5:5,Direkt,,Konter,0.1,,
VF_1_SVWE,Low Q Chance Against: 5,D1,L1,,5:5,Gezogen,,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance Against: 6,D2,L3,,5:5,Gezogen,,Konter,0.1,,
VF_1_SVWE,Low Q Chance Against: 7,D2,L3,,5:5,Direkt,,Standart,0.1,,
VF_1_SVWE,Low Q Chance Against: 8,D2,L3,,5:5,Gezogen,,Festsetzen,0.2,,
VF_1_SVWE,Low Q Chance Against: 9,D2,L1,,5:5,Gezogen,,Festsetzen,0.2,,
VF_1_SVWE,Low Q Chance Against: 10,D2,L1,,5:5,Gezogen,,Konter,0.1,,
VF_1_SVWE,Low Q Chance Against: 11,D2,L3,,5:5,Handgelenk,,Festsetzen,0.1,,
VF_1_SVWE,Low Q Chance Against: 12,D2,L3,,5:5,Volley,,Festsetzen,0.1,,
VF_1_SVWE,Low Q Chance Against: 13,D3,L2,,5:5,Gezogen,,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance Against: 14,D3,L1,,5:5,Gezogen,,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance Against: 15,D3,L1,,5:5,Gezogen,,Konter,0.2,,
VF_1_SVWE,Low Q Chance Against: 16,D3,L2,,5:5,Handgelenk,,Konter,0.1,,
VF_1_SVWE,Divers: 1,,,,,,Luca Steiner,,,,
VF_1_SVWE,Divers: 2,D1,,,5:5,,Kevin Kropf,,,,
VF_1_SVWE,Divers: 3,D1,L1,,5:5,,,Auslösung,,,
VF_1_SVWE,Divers: 4,,,,,,,,,,
VF_1_SVWE,Divers: 5,,,,,,,,,,
VF_1_SVWE,Divers: 6,,,,,,,,,,
VF_1_SVWE,Divers: 7,,,,,,,,,,
VF_1_SVWE,Divers: 8,D1,L1,,5:5,,,Konter,,,
VF_1_SVWE,Divers: 9,,,,,,,,,,
VF_1_SVWE,Divers: 10,,,,,,,,,,
VF_1_SVWE,Divers: 11,,,,,,,,,,
VF_1_SVWE,Divers: 12,,,,,,,,,,
VF_1_SVWE,Divers: 13,,,,,,,,,,
VF_1_SVWE,Standart ohne Ball: 1,D1,L3,,5:5,,,Standart,,,
VF_1_SVWE,Standart ohne Ball: 2,D1,L1,,5:5,,,Standart,,,
VF_1_SVWE,Standart ohne Ball: 3,D1,L3,,5:5,,,Standart,,,
VF_1_SVWE,Standart ohne Ball: 4,D1,L2,,5:5,,,Standart,,,
VF_1_SVWE,Standart ohne Ball: 5,D1,L2,,5:5,,,Standart,,,
VF_1_SVWE,Standart ohne Ball: 6,D2,L1,,5:5,,,Standart,,,
VF_1_SVWE,Standart ohne Ball: 7,D2,L3,,5:5,,,Standart,,,
VF_1_SVWE,Standart ohne Ball: 8,D2,L3,,5:5,,,Standart,,,
VF_1_SVWE,Low Q Chance For: 1,D1,L1,,5:5,Gezogen,Matteo Steiner,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance For: 2,D1,L2,,5:5,Volley,Kevin Kropf,Festsetzen,0.2,,
VF_1_SVWE,Low Q Chance For: 3,D1,L2,,5:5,Gezogen,Thomas Gfeller,Festsetzen,0.2,,
VF_1_SVWE,Low Q Chance For: 4,D1,L2,,5:5,Gezogen,Simon Steiner,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance For: 5,D1,L3,,5:5,Gezogen,Christian Stucki,Standart,0.1,,
VF_1_SVWE,Low Q Chance For: 6,D1,L2,,5:5,Gezogen,Simon Steiner,Konter,0.1,,
VF_1_SVWE,Low Q Chance For: 7,D1,L3,,5:5,Gezogen,Janis Schwarz,Standart,0.1,,
VF_1_SVWE,Low Q Chance For: 8,D1,L2,,5:5,Direkt,Thomas Gfeller,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance For: 9,D1,L2,,5:5,Gezogen,Simon Steiner,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance For: 10,D1,L2,,5:5,Gezogen,Simon Steiner,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance For: 11,D2,L1,,5:5,Gezogen,Martin Mosimann,Auslösung,0.1,,
VF_1_SVWE,Low Q Chance For: 12,D2,L2,,5:5,Handgelenk,Thomas Gfeller,Auslösung,0.2,,
VF_1_SVWE,Low Q Chance For: 13,D2,L1,,5:5,Gezogen,,Auslösung,0.2,,
VF_1_SVWE,Low Q Chance For: 14,D2,L1,,5:5,Gezogen,Luca Fankhauser,Festsetzen,0.2,,
VF_1_SVWE,Low Q Chance For: 15,D2,L1,,5:5,Handgelenk,Luca Fankhauser,Festsetzen,0.2,,
VF_1_SVWE,Low Q Chance For: 16,D2,L2,,5:5,Gezogen,Gustav Svensson,Festsetzen,0.1,,
VF_1_SVWE,Low Q Chance For: 17,D2,L2,,5:5,Gezogen,Gustav Svensson,Konter,0.2,,
VF_1_SVWE,Low Q Chance For: 18,D3,L1,,5:5,Gezogen,Janis Lauber,Nachsetzen,0.1,,
VF_1_SVWE,Low Q Chance For: 19,D3,L2,,5:5,Gezogen,Gustav Svensson,Standart,0.1,,
VF_1_SVWE,Low Q Chance For: 20,D3,L1,,5:5,Gezogen,Matteo Steiner,Nachsetzen,0.2,,
VF_1_SVWE,Mid Q Chance Against: 1,D1,L2,,5:5,Direkt,,Festsetzen,0.3,,
VF_1_SVWE,Mid Q Chance Against: 2,D1,L1,,5:5,Handgelenk,,Festsetzen,0.3,,
VF_1_SVWE,Mid Q Chance Against: 3,D2,L2,,5:5,Handgelenk,,Auslösung,0.3,,
VF_1_SVWE,Mid Q Chance Against: 4,D2,L1,,5:5,Direkt,,Standart,0.3,,
