Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS6_Alligator_Malans_A,ZOE Gegner: 15,D1,L1,5:5,,,,,Auslösung,,,Good
MS6_Alligator_Malans_A,ZOE Gegner: 16,D1,L3,5:5,,,,,Auslösung,,,Bad
MS6_Alligator_Malans_A,ZOE Gegner: 17,D1,L2,5:5,,,,,Auslösung,,,Good
MS6_Alligator_Malans_A,ZOE Gegner: 18,D2,L1,5:5,,,,,Auslösung,,,Good
MS6_Alligator_Malans_A,ZOE Gegner: 19,D2,L3,5:5,,,,,Auslösung,,,Good
MS6_Alligator_Malans_A,ZOE Gegner: 20,D2,L3,5:5,,,,,Auslösung,,,Good
MS6_Alligator_Malans_A,ZOE Gegner: 21,D2,L2,5:5,,,,,Auslösung,,,Bad
MS6_Alligator_Malans_A,ZOE Gegner: 22,D2,L1,5:5,,,,,Auslösung,,,Good
MS6_Alligator_Malans_A,ZOE Gegner: 23,D2,L3,5:5,,,,,Auslösung,,,Good
MS6_Alligator_Malans_A,Divers: 1,D3,L2,5:5,,,Matteo Steiner,,,,,
MS6_Alligator_Malans_A,Divers: 2,D3,L3,5:5,,,Jan Ewald,,Auslösung,,,
MS6_Alligator_Malans_A,Divers: 3,D3,L3,5:5,,,Luca Steiner,,Auslösung,,,
MS6_Alligator_Malans_A,Divers: 4,D3,L3,5:5,,,Lukas Münger,,,,,
MS6_Alligator_Malans_A,Divers: 5,D3,L1,5:5,,,,,Festsetzen,,,
MS6_Alligator_Malans_A,Divers: 6,D3,L2,5:5,,,Matteo Steiner,,,,,
MS6_Alligator_Malans_A,Divers: 7,D1,L2,5:5,,,Nick Pfister,,Auslösung,,,
MS6_Alligator_Malans_A,Divers: 8,D1,L2,5:5,,,Janis Schwarz,,,,,
MS6_Alligator_Malans_A,Divers: 9,D1,L1,5:5,,,Janis Schwarz,,,,,
MS6_Alligator_Malans_A,Divers: 10,D1,L1,5:5,,,,,Standart,,,
MS6_Alligator_Malans_A,Divers: 11,D1,L3,5:5,,,Hannes Kjellberg,,Auslösung,,,
MS6_Alligator_Malans_A,Divers: 12,D1,L3,5:5,,,Nick Pfister,,,,,
