Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_VF_5_SVWE,Divers: 2,,,,,,,,,,,,
PF_VF_5_SVWE,Divers: 3,,,,,,,,,,,,
PF_VF_5_SVWE,Divers: 4,,,,,,,,,,,,
PF_VF_5_SVWE,Divers: 5,D3,,L2,,5:5,,,,Festsetzen,,,
PF_VF_5_SVWE,Mid Q Chance For: 1,D1,,L1,,5:5,,Handgelenk,Christian Stucki,Konter,0.3,,
PF_VF_5_SVWE,Mid Q Chance For: 2,D3,,L1,,5:5,,Handgelenk,Christian Stucki,Konter,0.3,,
PF_VF_5_SVWE,Mid Q Chance For: 3,D3,,L1,,5:5,,Handgelenk,"Luca Steiner, Luca Steiner",Konter,0.4,,
PF_VF_5_SVWE,Mid Q Chance For: 4,D3,,L2,,5:5,,Gezogen,Kevin Kropf,Nachsetzen,0.4,,
PF_VF_5_SVWE,Tor Tigers: 1,D1,,L2,,5:5,,Direkt,Simon Steiner,Nachsetzen,0.4,,
PF_VF_5_SVWE,Tor Tigers: 2,D1,,BP2,,5:5,,Direkt,Luca Steiner,,0.4,,
PF_VF_5_SVWE,Tor Tigers: 3,D2,,L1,,5:5,,Gezogen,Nick Pfister,Nachsetzen,0.2,,
PF_VF_5_SVWE,Tor Tigers: 4,D2,,PP1,,5:5,,Gezogen,Janis Lauber,,0.3,,
PF_VF_5_SVWE,Tor Tigers: 5,D2,,L2,,5:5,,Gezogen,Gustav Svensson,Konter,0.5,,
PF_VF_5_SVWE,Tor Tigers: 6,D2,,L1,,5:5,,Gezogen,Thomas Gfeller,Standart,0.2,,
PF_VF_5_SVWE,Tor Tigers: 7,D3,,PP1,,5:4,,Direkt,Kevin Kropf,,0.4,,
PF_VF_5_SVWE,Tor Tigers: 8,OT,,L2,,5:5,,Direkt,Simon Steiner,Auslösung,0.8,,
PF_VF_5_SVWE,Zone-Exits: 1,D1,,L3,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,Zone-Exits: 2,D2,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,Zone-Exits: 3,D3,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,Zone-Exits: 4,D3,,L2,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,Zone-Exits: 5,D3,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,Zone-Exits: 6,OT,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,High Q Chance Against: 1,D1,,L3,,5:5,,Direkt,,Festsetzen,0.5,,
PF_VF_5_SVWE,Low Q Chance Against: 1,D1,,L1,,5:5,,Gezogen,,Auslösung,0.1,,
PF_VF_5_SVWE,Low Q Chance Against: 2,D1,,L2,,5:5,,Direkt,,Standart,0.1,,
PF_VF_5_SVWE,Low Q Chance Against: 3,D1,,L3,,5:5,,Gezogen,,Festsetzen,0.2,,
PF_VF_5_SVWE,Low Q Chance Against: 4,D1,,L1,,5:5,,Gezogen,,Konter,0.1,,
PF_VF_5_SVWE,Low Q Chance Against: 5,D2,,L2,,5:5,,Gezogen,,Standart,0.1,,
PF_VF_5_SVWE,Low Q Chance Against: 6,D2,,L1,,5:5,,Gezogen,,Festsetzen,0.2,,
PF_VF_5_SVWE,Low Q Chance Against: 7,D2,,L1,,5:5,,Gezogen,,Festsetzen,0.2,,
PF_VF_5_SVWE,Low Q Chance Against: 8,D2,,L2,,5:5,,Gezogen,,Standart,0.1,,
PF_VF_5_SVWE,Low Q Chance Against: 9,D2,,L2,,5:5,,Gezogen,,Standart,0.1,,
PF_VF_5_SVWE,Low Q Chance Against: 10,D3,,L2,,5:5,,Handgelenk,,Auslösung,0.1,,
PF_VF_5_SVWE,Low Q Chance Against: 11,D3,,L2,,5:5,,Direkt,,Festsetzen,0.1,,
PF_VF_5_SVWE,Low Q Chance Against: 12,D3,,L2,,5:5,,Gezogen,,Auslösung,0.2,,
PF_VF_5_SVWE,Low Q Chance Against: 13,D3,,L1,,5:5,,Handgelenk,,Festsetzen,0.1,,
PF_VF_5_SVWE,Low Q Chance Against: 14,D3,,L1,,5:5,,Direkt,,Pressing,0.1,,
PF_VF_5_SVWE,High Q Chance For: 1,D1,,L2,,5:5,,Direkt,Janis Lauber,Konter,0.4,,
PF_VF_5_SVWE,High Q Chance For: 2,D2,,L1,,5:5,,Handgelenk,Nick Pfister,Standart,0.4,,
PF_VF_5_SVWE,High Q Chance For: 3,D3,,L1,,5:5,,,Nick Pfister,Konter,0.5,,
PF_VF_5_SVWE,Penalty: 1,,,,,,,,,,,,
PF_VF_5_SVWE,BP1: 1,,,,,,,,,,,,
PF_VF_5_SVWE,BP2: 1,,,,,,,,,,,,
PF_VF_5_SVWE,BP2: 2,,,,,,,,,,,,
PF_VF_5_SVWE,PP1: 1,,,,,,,,,,,,
PF_VF_5_SVWE,PP1: 2,,,,,,,,,,,,
PF_VF_5_SVWE,Mid Q Chance Against: 1,D2,,L2,,5:5,,Handgelenk,,Konter,0.4,,
PF_VF_5_SVWE,Mid Q Chance Against: 2,D3,,L2,,5:5,,Direkt,,Standart,0.3,,
PF_VF_5_SVWE,Pot + Chance For: 1,D2,,L1,,5:5,,Direkt,,Auslösung,0.2,,
PF_VF_5_SVWE,6:5: 1,,,,,,,,,,,,
