Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_VF_5_SVWE,ZOE For: 1,D1,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 2,D1,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 3,D1,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 4,D1,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 5,D1,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,ZOE For: 6,D1,,L2,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,ZOE For: 7,D1,,L3,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,ZOE For: 8,D1,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 9,D2,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 10,D2,,L2,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,ZOE For: 11,D2,,L2,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,ZOE For: 12,D3,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 13,D3,,L2,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,ZOE For: 14,D3,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 15,D3,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 16,OT,,L2,,5:5,,,Janis Lauber,Auslösung,,Good,
PF_VF_5_SVWE,ZOE For: 17,OT,,L2,,5:5,,,,Auslösung,,Bad,
PF_VF_5_SVWE,Low Q Chance For: 1,D1,,L2,,5:5,,Handgelenk,Kevin Kropf,Auslösung,0.1,,
PF_VF_5_SVWE,Low Q Chance For: 2,D1,,L1,,5:5,,Handgelenk,Christian Stucki,Auslösung,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 3,D1,,L3,,5:5,,Gezogen,Jan Ewald,Auslösung,0.1,,
PF_VF_5_SVWE,Low Q Chance For: 4,D1,,L1,,5:5,,Handgelenk,Martin Mosimann,Auslösung,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 5,D2,,L2,,5:5,,Gezogen,Kevin Kropf,Festsetzen,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 6,D2,,L2,,5:5,,Gezogen,Janis Lauber,Festsetzen,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 7,D2,,L1,,5:5,,Gezogen,Christian Stucki,Nachsetzen,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 8,D2,,L1,,5:5,,Gezogen,Luca Fankhauser,Konter,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 9,D2,,L2,,5:5,,Gezogen,Kevin Kropf,Auslösung,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 10,D2,,L2,,5:5,,Gezogen,Simon Steiner,Standart,0.1,,
PF_VF_5_SVWE,Low Q Chance For: 11,D2,,L1,,5:5,,Gezogen,Christian Stucki,Auslösung,0.1,,
PF_VF_5_SVWE,Low Q Chance For: 12,D2,,L1,,5:5,,Gezogen,Luca Steiner,Festsetzen,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 13,D3,,L2,,5:5,,Volley,Kevin Kropf,Standart,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 14,D3,,L1,,5:5,,Direkt,Thomas Gfeller,Auslösung,0.2,,
PF_VF_5_SVWE,Low Q Chance For: 15,D3,,L1,,5:5,,Handgelenk,Luca Fankhauser,Auslösung,0.1,,
PF_VF_5_SVWE,Low Q Chance For: 16,D3,,L2,,5:5,,Direkt,Simon Steiner,Auslösung,0.2,,
PF_VF_5_SVWE,ZOE Gegner: 1,D1,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 2,D1,,L3,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 3,D1,,L3,,5:5,,,,Auslösung,,,Bad
PF_VF_5_SVWE,ZOE Gegner: 4,D1,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 5,D2,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 6,D2,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 7,D2,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 8,D2,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 9,D2,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 10,D3,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 11,D3,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 12,D3,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 13,D3,,L1,,5:5,,,,Auslösung,,,Bad
PF_VF_5_SVWE,ZOE Gegner: 14,D3,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 15,D3,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_5_SVWE,ZOE Gegner: 16,OT,,L1,,5:5,,,,Auslösung,,,Bad
PF_VF_5_SVWE,Tor Gegner: 1,D1,,L2,,5:5,,Direkt,,Auslösung,0.4,,
PF_VF_5_SVWE,Tor Gegner: 2,D1,,L2,,5:5,,,,Auslösung,0.4,,
PF_VF_5_SVWE,Tor Gegner: 3,D1,,L1,,5:5,,Direkt,,Auslösung,0.4,,
PF_VF_5_SVWE,Tor Gegner: 4,D2,,L2,,5:5,,Gezogen,,Auslösung,0.3,,
PF_VF_5_SVWE,Tor Gegner: 5,D2,,L2,,5:5,,Handgelenk,,Auslösung,0.3,,
PF_VF_5_SVWE,Tor Gegner: 6,D3,,L1,,5:5,,,,Pressing,0.8,,
PF_VF_5_SVWE,Tor Gegner: 7,D3,,L2,,5:5,,Gezogen,,Auslösung,0.1,,
PF_VF_5_SVWE,Divers: 1,D1,,L3,,5:5,,,,Auslösung,,,
