Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PFVF4_SVWE,Low Q Chance Against: 4,D1,,L1,,5:5,,Gezogen,,Auslösung,0.2,,
PFVF4_SVWE,Low Q Chance Against: 5,D1,,L2,,5:5,,Gezogen,,Standart,0.1,,
PFVF4_SVWE,Low Q Chance Against: 6,D1,,L3,,5:5,,Gezogen,,Konter,0.1,,
PFVF4_SVWE,Low Q Chance Against: 7,D2,,L1,,5:5,,Handgelenk,,Auslösung,0.1,,
PFVF4_SVWE,Low Q Chance Against: 8,D2,,L1,,5:5,,Gezogen,,Konter,0.2,,
PFVF4_SVWE,Low Q Chance Against: 9,D2,,L2,,5:5,,Handgelenk,,Auslösung,0.1,,
PFVF4_SVWE,Low Q Chance Against: 10,D2,,L1,,5:5,,Direkt,,Auslösung,0.2,,
PFVF4_SVWE,Low Q Chance Against: 11,D3,,L1,,5:5,,Handgelenk,,Festsetzen,0.1,,
PFVF4_SVWE,Low Q Chance Against: 12,D3,,L1,,5:5,,Gezogen,,Festsetzen,0.1,,
PFVF4_SVWE,Tor Gegner: 1,D1,,L1,,5:5,,Gezogen,,Auslösung,0.2,,
PFVF4_SVWE,Tor Gegner: 2,D2,,L1,,5:5,,Gezogen,,Konter,0.3,,
PFVF4_SVWE,Tor Gegner: 3,D3,,L2,,5:5,,Volley,,Festsetzen,0.6,,
PFVF4_SVWE,Tor Gegner: 4,D3,,L1,,5:5,,Handgelenk,,Konter,0.3,,
PFVF4_SVWE,Tor Gegner: 5,D3,,L2,,5:5,,Direkt,,Festsetzen,0.5,,
PFVF4_SVWE,Tor Gegner: 6,D3,,6:5,,4:5,,Handgelenk,,,0.7,,
PFVF4_SVWE,Tor Gegner: 7,D3,,,,5:6,,Direkt,,,0.7,,
PFVF4_SVWE,Divers: 1,D1,,L3,,5:5,,,,,,,
PFVF4_SVWE,Divers: 2,,,,,,,,,,,,
PFVF4_SVWE,Divers: 3,D3,,L1,,5:5,,,Nick Pfister,,,,
PFVF4_SVWE,Divers: 4,,,,,,,,,,,,
PFVF4_SVWE,Divers: 5,,,,,,,,,,,,
PFVF4_SVWE,Low Q Chance For: 1,D1,,L1,,5:5,,Gezogen,,Standart,0.1,,
PFVF4_SVWE,Low Q Chance For: 2,D1,,L1,,5:5,,Handgelenk,Luca Fankhauser,Auslösung,0.2,,
PFVF4_SVWE,Low Q Chance For: 3,D1,,L2,,5:5,,Direkt,Gustav Svensson,Festsetzen,0.1,,
PFVF4_SVWE,Low Q Chance For: 4,D1,,L2,,5:5,,Gezogen,Jan Ewald,Festsetzen,0.2,,
PFVF4_SVWE,Low Q Chance For: 5,D1,,L3,,5:5,,Gezogen,Jan Ewald,Konter,0.1,,
PFVF4_SVWE,Low Q Chance For: 6,D2,,L3,,5:5,,Handgelenk,Jan Ewald,Konter,0.1,,
PFVF4_SVWE,Low Q Chance For: 7,D2,,L2,,5:5,,Gezogen,Gustav Svensson,Festsetzen,0.1,,
PFVF4_SVWE,Low Q Chance For: 8,D2,,L1,,5:5,,Gezogen,Martin Mosimann,Festsetzen,0.2,,
PFVF4_SVWE,Low Q Chance For: 9,D3,,L2,,5:5,,Gezogen,Simon Steiner,Festsetzen,0.2,,
PFVF4_SVWE,Low Q Chance For: 10,D3,,L2,,5:5,,Gezogen,Gustav Svensson,Konter,0.2,,
PFVF4_SVWE,Low Q Chance For: 11,D3,,L1,,5:5,,Gezogen,Matteo Steiner,Auslösung,0.2,,
PFVF4_SVWE,Low Q Chance For: 12,D3,,L2,,5:5,,Gezogen,Thomas Gfeller,Standart,0.2,,
PFVF4_SVWE,PP1: 1,,,,,,,,,,,,
