Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,PeriodName,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
Playoff_VF_6,Divers: 4,D2,,,,5:5,,,,Janis Lauber,,,,
Playoff_VF_6,Tor Gegner: 1,D1,,L1,,5:5,,,Gezogen,,Festsetzen,0.3,,
Playoff_VF_6,Tor Gegner: 2,D3,,L1,,5:5,,,Gezogen,,Festsetzen,0.3,,
Playoff_VF_6,Tor Gegner: 3,D3,,L2,,5:6,,,,,,0.6,,
Playoff_VF_6,Pot + Chance For: 1,D1,,L1,,5:5,,,Direkt,Thomas Gfeller,Nachsetzen,0.2,,
Playoff_VF_6,Tor Tigers: 1,D1,,L3,,5:5,,,Gezogen,Elias Lunnestad,Standart,0.2,,
Playoff_VF_6,Tor Tigers: 2,D1,,L1,,5:5,,,Direkt,Matteo Steiner,Auslösung,0.6,,
Playoff_VF_6,Tor Tigers: 3,D2,,L2,,5:5,,,Direkt,Kevin Kropf,Auslösung,0.4,,
Playoff_VF_6,Tor Tigers: 4,D3,,PP1,,5:4,,,Gezogen,Matteo Steiner,,0.4,,
Playoff_VF_6,4:4: 1,,,,,,,,,,,,,
Playoff_VF_6,Zone-Exits: 1,D2,,L3,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,Zone-Exits: 2,D2,,L1,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,Zone-Exits: 3,D3,,L2,,5:5,,,,,Auslösung,,Good,
Playoff_VF_6,Zone-Exits: 4,D3,,L2,,5:5,,,,,Auslösung,,Bad,
Playoff_VF_6,High Q Chance For: 1,D2,,L3,,5:5,,,Direkt,Jan Ewald,Auslösung,0.4,,
Playoff_VF_6,PP1: 1,,,,,,,,,,,,,
Playoff_VF_6,PP1: 2,,,,,,,,,,,,,
Playoff_VF_6,Mid Q Chance Against: 1,D2,,L2,,5:5,,,Handgelenk,,Nachsetzen,0.3,,
Playoff_VF_6,Mid Q Chance Against: 2,D2,,L2,,5:5,,,Direkt,,Festsetzen,0.3,,
Playoff_VF_6,Mid Q Chance Against: 3,D2,,L3,,5:5,,,Direkt,,Standart,0.3,,
Playoff_VF_6,Mid Q Chance Against: 4,D2,,L1,,5:5,,,Direkt,,Festsetzen,0.4,,
Playoff_VF_6,Mid Q Chance Against: 5,D2,,L2,,5:5,,,Handgelenk,,Standart,0.3,,
Playoff_VF_6,Mid Q Chance For: 1,D2,,L1,,5:5,,,Direkt,Christian Stucki,Festsetzen,0.3,,
Playoff_VF_6,Mid Q Chance For: 2,D2,,L2,,5:5,,,Volley,Simon Steiner,Festsetzen,0.4,,
Playoff_VF_6,Mid Q Chance For: 3,D2,,L1,,5:5,,,,Matteo Steiner,Auslösung,0.3,,
Playoff_VF_6,Mid Q Chance For: 4,D3,,L1,,5:5,,,Direkt,Christian Stucki,Auslösung,0.4,,
Playoff_VF_6,Mid Q Chance For: 5,D3,,L2,,5:5,,,Direkt,Gustav Svensson,Festsetzen,0.4,,
Playoff_VF_6,High Q Chance Against: 1,D3,,"L2, L1",,5:5,,,Volley,,Standart,0.5,,
Playoff_VF_6,High Q Chance Against: 2,D3,,L2,,5:5,,,Direkt,,Festsetzen,0.6,,
Playoff_VF_6,Pot + Chance Against: 1,D3,,L1,,,,,Volley,,Festsetzen,0.3,,
Playoff_VF_6,6:5: 1,,,,,,,,,,,,,
