Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_VF2_SVWE,ZOE For: 1,D1,L3,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,ZOE For: 2,"D1, D1","L1, L1",,"5:5, 5:5",Gezogen,,"Auslösung, Festsetzen",0.1,Good,
PF_VF2_SVWE,ZOE For: 3,D1,L3,,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,ZOE For: 4,D1,L2,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,ZOE For: 5,D1,"L2, L2",,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,ZOE For: 6,D1,L1,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,ZOE For: 7,D1,L3,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,ZOE For: 8,D1,L1,,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,ZOE For: 9,D1,L2,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,ZOE For: 10,D1,L3,,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,ZOE For: 11,D1,L3,,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,ZOE For: 12,D2,L3,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,ZOE For: 13,D2,L3,,5:5,,Luca Steiner,Auslösung,,Bad,
PF_VF2_SVWE,ZOE For: 14,D2,L2,,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,ZOE For: 15,D2,L3,,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,ZOE For: 16,D2,L2,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,ZOE For: 17,D3,L2,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,ZOE Gegner: 1,D1,L1,,5:5,,,Auslösung,,,Good
PF_VF2_SVWE,ZOE Gegner: 2,D1,L1,,5:5,,,Auslösung,,,Good
PF_VF2_SVWE,ZOE Gegner: 3,D1,L3,,5:5,,,Auslösung,,,Good
PF_VF2_SVWE,ZOE Gegner: 4,D1,"L1, L1",,5:5,,,Auslösung,,,Good
PF_VF2_SVWE,ZOE Gegner: 5,D1,L2,,5:5,,,Auslösung,,,Bad
PF_VF2_SVWE,ZOE Gegner: 6,D2,L1,,5:5,,,Auslösung,,,Good
PF_VF2_SVWE,ZOE Gegner: 7,D2,L1,,5:5,,,Auslösung,,,Bad
PF_VF2_SVWE,ZOE Gegner: 8,D1,L1,,5:5,,,Auslösung,,,Good
PF_VF2_SVWE,ZOE Gegner: 9,D3,L2,,5:5,,,Auslösung,,,Good
PF_VF2_SVWE,ZOE Gegner: 10,D3,L1,,5:5,,,Auslösung,,,Bad
PF_VF2_SVWE,Tor Gegner: 1,D1,L2,,5:5,Gezogen,,Standart,0.2,,
PF_VF2_SVWE,Tor Gegner: 2,D2,L3,,5:5,Direkt,,Konter,0.6,,
PF_VF2_SVWE,Tor Gegner: 3,D2,L2,,5:5,Gezogen,,Festsetzen,0.3,,
PF_VF2_SVWE,Tor Gegner: 4,D3,L3,,5:5,Direkt,,Auslösung,0.5,,
PF_VF2_SVWE,Tor Gegner: 5,D3,L2,,5:5,Direkt,,Konter,0.7,,
PF_VF2_SVWE,Zone-Exits: 1,D1,L1,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,Zone-Exits: 2,D1,L2,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,Zone-Exits: 3,D1,L3,,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,Zone-Exits: 4,D1,L2,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,Zone-Exits: 5,D1,L2,,5:5,,,Auslösung,,Bad,
PF_VF2_SVWE,Zone-Exits: 6,D2,L3,,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,Zone-Exits: 7,D3,L1,,5:5,,,Auslösung,,Good,
PF_VF2_SVWE,Low Q Chance For: 1,D1,L1,,5:5,Gezogen,Martin Mosimann,Festsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance For: 2,D1,L1,,5:5,Handgelenk,Luca Fankhauser,Konter,0.1,,
PF_VF2_SVWE,Low Q Chance For: 3,D1,L2,,5:5,Gezogen,Micha Strohl,Auslösung,0.1,,
PF_VF2_SVWE,Low Q Chance For: 4,D1,L1,,5:5,Gezogen,Nick Pfister,Auslösung,0.2,,
PF_VF2_SVWE,Low Q Chance For: 5,D1,L3,,5:5,Handgelenk,Janis Schwarz,Auslösung,0.1,,
PF_VF2_SVWE,Low Q Chance For: 6,D1,L3,,5:5,Handgelenk,Elias Lunnestad,Auslösung,0.2,,
PF_VF2_SVWE,Low Q Chance For: 7,D1,L3,,5:5,Gezogen,Luca Steiner,Festsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance For: 8,D1,L2,,5:5,Gezogen,Kevin Kropf,Konter,0.1,,
PF_VF2_SVWE,Low Q Chance For: 9,D1,L1,,5:5,Gezogen,Matteo Steiner,Auslösung,0.1,,
PF_VF2_SVWE,Low Q Chance For: 10,D2,L1,,5:5,Gezogen,Matteo Steiner,Nachsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance For: 11,D2,L2,,5:5,Gezogen,Gustav Svensson,Standart,0.2,,
PF_VF2_SVWE,Low Q Chance For: 12,D2,L3,,5:5,Gezogen,Janis Lauber,Auslösung,0.3,,
PF_VF2_SVWE,Low Q Chance For: 13,D2,L2,,5:5,Gezogen,Gustav Svensson,Auslösung,0.2,,
PF_VF2_SVWE,Low Q Chance For: 14,D2,L2,,5:5,Gezogen,Simon Steiner,Festsetzen,0.2,,
PF_VF2_SVWE,Low Q Chance For: 15,D2,L1,,5:5,Gezogen,Janis Lauber,Festsetzen,0.2,,
PF_VF2_SVWE,Low Q Chance For: 16,D3,L1,,5:5,Gezogen,Luca Fankhauser,Festsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance For: 17,D3,L1,,5:5,Gezogen,Janis Lauber,Standart,0.1,,
PF_VF2_SVWE,Low Q Chance For: 18,D3,L1,,5:5,Gezogen,"Nick Pfister, Nick Pfister",Auslösung,0.1,,
PF_VF2_SVWE,Low Q Chance For: 19,D3,L1,,5:5,Gezogen,Martin Mosimann,Standart,0.1,,
PF_VF2_SVWE,Low Q Chance For: 20,D3,L2,,5:5,Gezogen,Kevin Kropf,Nachsetzen,0.2,,
PF_VF2_SVWE,Divers: 1,D3,L3,,5:5,,Elias Lunnestad,Festsetzen,,,
PF_VF2_SVWE,Divers: 2,D1,L3,,5:5,,,Festsetzen,,,
PF_VF2_SVWE,Divers: 3,,,,,,,,,,
PF_VF2_SVWE,Divers: 4,D2,L2,,5:5,,Matteo Steiner,,,,
PF_VF2_SVWE,Divers: 5,D2,L3,,5:5,,,Auslösung,,,
PF_VF2_SVWE,Divers: 6,D2,L3,,5:5,,,,,,
PF_VF2_SVWE,Divers: 7,D2,L2,,5:5,,,Auslösung,,,
PF_VF2_SVWE,Low Q Chance Against: 1,D1,L3,,5:5,Gezogen,,Konter,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 2,D1,L3,,5:5,Gezogen,,Auslösung,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 3,D1,L1,,5:5,Handgelenk,,Festsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 4,D1,L2,,5:5,Gezogen,,Festsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 5,D1,L2,,5:5,Gezogen,,Festsetzen,0.2,,
PF_VF2_SVWE,Low Q Chance Against: 6,D1,L3,,5:5,Handgelenk,,Festsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 7,D1,L3,,5:5,Direkt,,Standart,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 8,D1,L1,,5:5,Gezogen,,Festsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 9,D2,L1,,5:5,Gezogen,,Konter,0.2,,
PF_VF2_SVWE,Low Q Chance Against: 10,D2,L1,,5:5,Gezogen,,Standart,0.2,,
PF_VF2_SVWE,Low Q Chance Against: 11,D2,L1,,5:5,Gezogen,"Matteo Steiner, Matteo Steiner",Festsetzen,0.2,,
PF_VF2_SVWE,Low Q Chance Against: 12,D3,L3,,5:5,Gezogen,,Festsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 13,D2,L1,,5:5,Gezogen,,Auslösung,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 14,D2,L1,,5:5,Gezogen,,Festsetzen,0.1,,
PF_VF2_SVWE,Low Q Chance Against: 15,D3,L1,,5:5,Direkt,,Auslösung,0.2,,
PF_VF2_SVWE,Off. Transition: 1,D1,L1,,5:5,,Nick Pfister,Konter,,,
PF_VF2_SVWE,Mid Q Chance Against: 1,D1,L1,,5:5,Handgelenk,,Konter,0.3,,
