Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_VF2_SVWE,Mid Q Chance Against: 2,D1,L1,,5:5,Direkt,,Auslösung,0.3,,
PF_VF2_SVWE,Mid Q Chance Against: 3,D1,L2,,5:5,Handgelenk,Thomas Gfeller,Konter,0.3,,
PF_VF2_SVWE,Mid Q Chance Against: 4,D2,L2,,5:5,Handgelenk,,Auslösung,0.3,,
PF_VF2_SVWE,Mid Q Chance Against: 5,D2,L3,,5:5,Handgelenk,,Konter,0.3,,
PF_VF2_SVWE,Mid Q Chance Against: 6,D3,L1,,5:5,Handgelenk,,,0.3,,
PF_VF2_SVWE,Mid Q Chance Against: 7,D3,L1,,5:5,Direkt,,Konter,0.4,,
PF_VF2_SVWE,Mid Q Chance Against: 8,D3,L1,,5:5,Gezogen,,Konter,0.3,,
PF_VF2_SVWE,Mid Q Chance Against: 9,D3,,,5:5,Direkt,,Festsetzen,0.4,,
PF_VF2_SVWE,Tor Tigers: 1,D1,L1,,5:5,Gezogen,Matteo Steiner,Auslösung,0.3,,
PF_VF2_SVWE,Tor Tigers: 2,D3,L1,,5:5,Direkt,Matteo Steiner,Auslösung,0.3,,
PF_VF2_SVWE,High Q Chance For: 1,D1,L1,,5:5,Handgelenk,Nick Pfister,Auslösung,0.4,,
PF_VF2_SVWE,High Q Chance For: 2,D2,L1,,5:5,Direkt,Matteo Steiner,Auslösung,0.6,,
PF_VF2_SVWE,High Q Chance For: 3,D3,L1,,5:5,Direkt,Nick Pfister,Auslösung,0.6,,
PF_VF2_SVWE,High Q Chance Against: 1,D1,L2,,5:5,Direkt,,Pressing,0.5,,
PF_VF2_SVWE,High Q Chance Against: 2,D2,L1,,5:5,Direkt,,Konter,0.5,,
PF_VF2_SVWE,Standart mit Ball: 1,"D1, D2",L3,,5:5,,,Standart,,,
PF_VF2_SVWE,Mid Q Chance For: 1,D2,L2,,5:5,Direkt,Kevin Kropf,Standart,0.3,,
PF_VF2_SVWE,Mid Q Chance For: 2,D2,L1,,5:5,Handgelenk,Luca Fankhauser,Auslösung,0.3,,
PF_VF2_SVWE,Mid Q Chance For: 3,D2,L1,,5:5,Direkt,Nick Pfister,Auslösung,0.3,,
PF_VF2_SVWE,Pot + Chance For: 1,D2,L1,,,,Luca Fankhauser,Festsetzen,0.2,,
PF_VF2_SVWE,BP1: 1,,,,,,,,,,
PF_VF2_SVWE,BP1: 2,,,,,,,,,,
PF_VF2_SVWE,BP1: 3,,,,,,,,,,
PF_VF2_SVWE,BP1: 4,,,,,,,,,,
PF_VF2_SVWE,BP1: 5,,,,,,,,,,
PF_VF2_SVWE,BP2: 1,,,,,,,,,,
PF_VF2_SVWE,BP2: 2,,,,,,,,,,
PF_VF2_SVWE,BP2: 3,,,,,,,,,,
PF_VF2_SVWE,PP1: 1,,,,,,,,,,
PF_VF2_SVWE,6:5: 1,,,,,,,,,,
