Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS3_SVWE,ZOE For: 13,D2,L1,5:5,,,Janis Lauber,,Auslösung,,Good,
MS3_SVWE,ZOE For: 14,D3,L1,5:5,,,Gustav Svensson,,Auslösung,,Good,
MS3_SVWE,ZOE For: 15,D3,L2,5:5,,,Maurice Aebersold,,Auslösung,,Bad,
MS3_SVWE,ZOE For: 16,D3,L2,5:5,,,Elias Lunnestad,,Auslösung,,Bad,
MS3_SVWE,ZOE For: 17,D3,L1,5:5,,,Gustav Svensson,,Auslösung,,Good,
MS3_SVWE,ZOE For: 18,OT,L1,5:5,,,Schwarz Janis,,Auslösung,,Bad,
MS3_SVWE,Low Q Chance Against: 1,D1,L1,5:5,Gezogen,Geblockt,Gustav Svensson,,Konter,0.1,,
MS3_SVWE,Low Q Chance Against: 2,D1,L1,5:5,Handgelenk,Geblockt,"Schwarz Janis, Schwarz Janis",,Nachsetzen,0.1,,
MS3_SVWE,Low Q Chance Against: 3,D1,L3,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS3_SVWE,Low Q Chance Against: 4,D1,L1,5:5,Gezogen,Neben Tor,,,Konter,0.1,,
MS3_SVWE,Low Q Chance Against: 5,D1,L2,5:5,Direkt,Auf Tor,,,Konter,0.1,,
MS3_SVWE,Low Q Chance Against: 6,D1,L3,5:5,Handgelenk,Geblockt,Lukas Münger,,Pressing,0.1,,
MS3_SVWE,Low Q Chance Against: 7,D1,L1,5:5,Handgelenk,Geblockt,Steiner Simon,,Standart,0.1,,
MS3_SVWE,Low Q Chance Against: 8,D1,L2,5:5,Direkt,Auf Tor,,,Festsetzen,0.1,,
MS3_SVWE,Low Q Chance Against: 9,D1,L3,5:5,Gezogen,Geblockt,Nick Pfister,,Auslösung,0.1,,
MS3_SVWE,Low Q Chance Against: 10,D1,L3,5:5,Handgelenk,Geblockt,,,Festsetzen,0.2,,
MS3_SVWE,Low Q Chance Against: 11,D1,L1,5:5,Handgelenk,Auf Tor,,,Auslösung,0.2,,
MS3_SVWE,Low Q Chance Against: 12,D1,L3,5:5,Handgelenk,Auf Tor,,,,0.1,,
MS3_SVWE,Low Q Chance Against: 13,D1,L2,5:5,Handgelenk,Geblockt,Steiner Luca,,Auslösung,0.1,,
MS3_SVWE,Low Q Chance Against: 14,D2,L1,5:5,Handgelenk,Neben Tor,,,Auslösung,0.2,,
MS3_SVWE,Low Q Chance Against: 15,D2,L2,5:5,Direkt,Neben Tor,,,Festsetzen,0.1,,
MS3_SVWE,Low Q Chance Against: 16,D2,L1,5:5,Direkt,Geblockt,Gustav Svensson,,Festsetzen,0.2,,
MS3_SVWE,Low Q Chance Against: 17,D2,L1,5:5,Direkt,Auf Tor,,,Festsetzen,0.1,,
MS3_SVWE,Low Q Chance Against: 18,D2,L3,5:5,Handgelenk,Neben Tor,,,Konter,0.2,,
MS3_SVWE,Low Q Chance Against: 19,D2,L1,5:5,Direkt,Neben Tor,,,Konter,0.2,,
MS3_SVWE,Low Q Chance Against: 20,D3,L2,5:5,Direkt,Neben Tor,,,Konter,0.1,,
MS3_SVWE,Low Q Chance Against: 21,D3,L2,5:5,Handgelenk,Neben Tor,,,Auslösung,0.1,,
MS3_SVWE,Low Q Chance Against: 22,D3,L2,5:5,Handgelenk,Auf Tor,,,Konter,0.2,,
MS3_SVWE,Low Q Chance Against: 23,D3,L1,5:5,Handgelenk,Geblockt,Janis Lauber,,Auslösung,0.1,,
MS3_SVWE,Low Q Chance Against: 24,D3,L1,5:5,Gezogen,Neben Tor,,,Konter,0.2,,
MS3_SVWE,Low Q Chance Against: 25,D3,L2,5:5,Handgelenk,Auf Tor,,,Konter,0.1,,
MS3_SVWE,Low Q Chance Against: 26,D3,L1,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
MS3_SVWE,Low Q Chance Against: 27,OT,L1,5:5,Direkt,Auf Tor,,,Auslösung,0.2,,
MS3_SVWE,Low Q Chance Against: 28,OT,L1,5:5,Direkt,Auf Tor,,,Auslösung,0.2,,
MS3_SVWE,Tor Gegner: 1,D1,BP1,4:5,Direkt,,,,,0.2,,
MS3_SVWE,Tor Gegner: 2,D1,L3,5:5,Direkt,,,,Pressing,0.3,,
MS3_SVWE,Tor Gegner: 3,D2,L1,5:5,Direkt,,,,Festsetzen,0.3,,
