Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS10_FBK_A,Mid Q Chance For: 4,D2,L2,5:5,Gezogen,Neben Tor,Matteo Steiner,,Konter,0.3,,
MS10_FBK_A,Mid Q Chance For: 5,D3,L2,5:5,Handgelenk,Auf Tor,Matteo Steiner,,Konter,0.3,,
MS10_FBK_A,Mid Q Chance For: 6,D3,L2,5:5,Direkt,Auf Tor,Luca Fankhauser,Matteo Steiner,Konter,0.4,,
MS10_FBK_A,Mid Q Chance For: 7,OT,L1,5:5,Direkt,Geblockt,Kevin Kropf,Steiner Simon,Standart,0.3,,
MS10_FBK_A,Tor Gegner: 1,D1,L1,5:5,Gezogen,,,,Auslösung,0.2,,
MS10_FBK_A,Tor Gegner: 2,D1,L2,5:5,Direkt,,,,Konter,0.3,,
MS10_FBK_A,Tor Gegner: 3,D1,L3,5:5,Direkt,,,,Pressing,0.2,,
MS10_FBK_A,Tor Tigers: 1,D1,L2,5:5,Gezogen,,Janis Lauber,Matteo Steiner,Konter,0.3,,
MS10_FBK_A,Tor Tigers: 2,D2,L1,5:5,Volley,,Simon Steiner,Matteo Steiner,Auslösung,0.5,,
MS10_FBK_A,Tor Tigers: 3,D3,L2,5:5,Gezogen,,Nick Pfister,Micha Strohl,Festsetzen,0.2,,
MS10_FBK_A,Tor Tigers: 4,OT,L2,,,,Micha Strohl,,Standart,0.3,,
MS10_FBK_A,Mid Q Chance Against: 1,D2,L1,5:5,Direkt,Neben Tor,,,Standart,0.2,,
MS10_FBK_A,Mid Q Chance Against: 2,D2,L3,5:5,Direkt,Geblockt,Steiner Luca,,Konter,0.3,,
MS10_FBK_A,Mid Q Chance Against: 3,D2,L2,5:5,Gezogen,Auf Tor,,,Nachsetzen,0.3,,
MS10_FBK_A,High Q Chance Against: 1,D2,L1,5:5,Direkt,Neben Tor,,,Nachsetzen,0.4,,
MS10_FBK_A,Pot + Chance For: 1,D3,L2,5:5,Volley,,,,Standart,0.2,,
