Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Against,
MS12_Zug_H,Low Q Chance Against: 8,D1,L1,5:5,Gezogen,Auf Tor,,,0.1,Festsetzen,,,
MS12_Zug_H,Low Q Chance Against: 9,D1,L2,5:5,Handgelenk,Neben Tor,,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 10,D1,L1,5:5,Gezogen,Neben Tor,,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 11,D1,L2,5:5,Direkt,Neben Tor,,,0.1,Konter,,,
MS12_Zug_H,Low Q Chance Against: 12,D1,L3,5:5,Direkt,Neben Tor,,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 13,D2,L3,5:5,Gezogen,Geblockt,Martin Mosimann,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 14,D2,L3,,Gezogen,Geblockt,Martin Mosimann,,0.1,Festsetzen,,,
MS12_Zug_H,Low Q Chance Against: 15,D2,L1,5:5,Direkt,Geblockt,Maurice Aebersold,,0.1,Standart,,,
MS12_Zug_H,Low Q Chance Against: 16,D2,L2,5:5,Gezogen,Geblockt,Nick Pfister,,0.1,Standart,,,
MS12_Zug_H,Low Q Chance Against: 17,D2,L3,5:5,Gezogen,Neben Tor,,,0.1,Standart,,,
MS12_Zug_H,Low Q Chance Against: 18,D2,L3,5:5,Gezogen,Neben Tor,,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 19,D2,L3,5:5,Gezogen,Neben Tor,,,0.2,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 20,D3,L2,5:5,Handgelenk,Auf Tor,,,0.1,Konter,,,
MS12_Zug_H,Low Q Chance Against: 21,D3,L1,5:5,Gezogen,Auf Tor,,,0.2,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 22,D3,L2,5:5,Handgelenk,Geblockt,Lukas Münger,,0.1,Konter,,,
MS12_Zug_H,Low Q Chance Against: 23,D3,L1,5:5,Gezogen,Geblockt,Steiner Simon,,0.1,Festsetzen,,,
MS12_Zug_H,Low Q Chance Against: 24,D3,L3,5:5,Gezogen,Auf Tor,Jan Ewald,,0.2,Konter,,,
MS12_Zug_H,Low Q Chance Against: 25,D3,L2,5:5,Gezogen,Auf Tor,,,0.1,Festsetzen,,,
MS12_Zug_H,Low Q Chance Against: 26,D3,L2,5:5,Gezogen,Geblockt,Christian Stucki,,0.1,Standart,,,
MS12_Zug_H,Low Q Chance Against: 27,D3,L1,5:5,Direkt,Auf Tor,,,0.1,Konter,,,
MS12_Zug_H,Low Q Chance Against: 28,D3,L2,5:5,Gezogen,Neben Tor,,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 29,D3,L2,5:5,Direkt,,,,0.2,Standart,,,
MS12_Zug_H,Mid Q Chance Against: 1,D1,L1,5:5,Gezogen,Auf Tor,,,0.3,Auslösung,,,
MS12_Zug_H,Mid Q Chance Against: 2,D1,L1,5:5,Direkt,Auf Tor,,,0.3,Auslösung,,,
MS12_Zug_H,Mid Q Chance Against: 3,D1,L2,5:5,Direkt,,Matteo Steiner,,0.4,Konter,,,
MS12_Zug_H,Mid Q Chance Against: 4,D2,L3,5:5,Direkt,Auf Tor,,,0.3,Festsetzen,,,
MS12_Zug_H,Mid Q Chance Against: 5,D3,L2,5:5,Direkt,,,,0.5,Standart,,,
MS12_Zug_H,Tor Gegner: 1,D1,L1,5:5,Direkt,,,,0.2,Konter,,,
MS12_Zug_H,Tor Gegner: 2,D1,L1,5:5,Direkt,,,,0.8,Konter,,,
MS12_Zug_H,Tor Gegner: 3,D3,L2,5:5,Direkt,,,,0.3,Festsetzen,,,
MS12_Zug_H,Tor Gegner: 4,D3,L2,5:5,Direkt,,,,0.4,Konter,,,
MS12_Zug_H,High Q Chance For: 1,D1,L3,5:5,Direkt,Auf Tor,Christian Stucki,,0.3,Konter,,,
MS12_Zug_H,Pot + Chance For: 1,D1,L1,5:5,Volley,,Simon Steiner,,0.2,Auslösung,,,
MS12_Zug_H,Pot + Chance For: 2,D1,L2,5:5,Direkt,,Janis Lauber,,0.4,Nachsetzen,,,
MS12_Zug_H,Mid Q Chance For: 1,D2,L1,5:5,Direkt,Geblockt,Gustav Svensson,,0.4,Festsetzen,,,
MS12_Zug_H,Mid Q Chance For: 2,D2,L1,5:5,Direkt,Geblockt,Simon Steiner,,0.4,Nachsetzen,,,
MS12_Zug_H,Mid Q Chance For: 3,D3,L1,5:5,Direkt,Auf Tor,Kevin Kropf,,0.3,Konter,,,
MS12_Zug_H,Mid Q Chance For: 4,D3,L1,5:5,Direkt,Auf Tor,Gustav Svensson,,0.4,Auslösung,,,
MS12_Zug_H,Mid Q Chance For: 5,D3,L2,5:5,Volley,Auf Tor,Nick Pfister,,0.4,,,,
MS12_Zug_H,Tor Tigers: 3,D3,L1,5:5,Direkt,,Christian Stucki,,0.7,Auslösung,,,
