Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS5_HCR,Pressing: 1,D3,L1,5:5,,,,,,,,
MS5_HCR,Start: 1,,,,,,,,,,,
MS5_HCR,Tor Gegner: 1,D1,L1,5:5,Gezogen,,,,Festsetzen,0.2,,
MS5_HCR,Tor Gegner: 2,D1,L2,5:5,Gezogen,,,,Konter,0.3,,
MS5_HCR,Tor Gegner: 3,D1,L1,5:5,Direkt,,,,Festsetzen,0.8,,
MS5_HCR,Tor Gegner: 4,D1,L2,5:5,Gezogen,,,,Auslösung,0.6,,
MS5_HCR,Tor Gegner: 5,D1,L1,5:5,Gezogen,,,,Konter,0.2,,
MS5_HCR,Tor Gegner: 6,D2,L1,5:5,Gezogen,,,,Festsetzen,0.4,,
MS5_HCR,Tor Gegner: 7,D3,L2,5:5,Direkt,,,,Auslösung,0.5,,
MS5_HCR,Tor Gegner: 8,D3,L2,5:5,Gezogen,,,,Standart,0.3,,
MS5_HCR,Tor Tigers: 1,D1,L3,5:5,Gezogen,,Elias Lunnestad,Hannes Kjellberg,Pressing,0.6,,
MS5_HCR,Tor Tigers: 2,D2,PP2,5:4,Gezogen,,Gustav Svensson,Hannes Kjellberg,,0.3,,
MS5_HCR,Tor Tigers: 3,D2,L2,5:5,Gezogen,,Matteo Steiner,Nick Pfister,Pressing,0.4,,
MS5_HCR,Tor Tigers: 4,D3,L1,5:5,Gezogen,,Christian Stucki,Steiner Simon,Nachsetzen,0.5,,
MS5_HCR,Tor Tigers: 5,D3,PP2,5:4,Gezogen,,,,,0.3,,
MS5_HCR,Tor Tigers: 6,D3,6:5,6:5,Direkt,,Matteo Steiner,Elias Lunnestad,,0.1,,
MS5_HCR,ZOE For: 1,D1,L2,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 2,D1,L3,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 3,D1,L1,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 4,D1,L2,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 5,D1,L3,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 6,D1,L3,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 7,D1,L2,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 8,D2,L2,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 9,D2,L3,5:5,,,,,,,Bad,
MS5_HCR,ZOE For: 10,D2,L1,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 11,D2,L3,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 12,D2,L1,5:5,,,,,,,Bad,
MS5_HCR,ZOE For: 13,D2,L1,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 14,D2,L3,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 15,D2,L3,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 16,D3,L1,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 17,D3,L3,5:5,,,,,,,Bad,
