Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS17_HCR_A,ZOE For: 1,D1,L2,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,,Bad,
MS17_HCR_A,ZOE For: 3,D1,L1,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,ZOE For: 4,D1,L1,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,ZOE For: 5,D2,L2,5:5,Gezogen,,,,Auslösung,0.2,Bad,
MS17_HCR_A,ZOE For: 6,D2,L2,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,ZOE For: 7,D2,L2,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,ZOE For: 8,D2,L2,5:5,,,,,Auslösung,,Bad,
MS17_HCR_A,ZOE For: 9,D3,L2,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,Zone-Exits: 1,D1,L1,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,Zone-Exits: 2,D1,L1,5:5,Gezogen,,,,Auslösung,0.1,Bad,
MS17_HCR_A,Zone-Exits: 3,D1,L1,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,Zone-Exits: 4,D1,L1,5:5,,,,,Auslösung,,Bad,
MS17_HCR_A,Zone-Exits: 5,D1,L3,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,Zone-Exits: 6,D1,L3,5:5,,,,,Auslösung,,Bad,
MS17_HCR_A,Zone-Exits: 7,D1,L1,5:4,,,,,Auslösung,,Bad,
MS17_HCR_A,Zone-Exits: 8,D2,L2,5:5,,,,,Auslösung,,Bad,
MS17_HCR_A,Zone-Exits: 9,D2,L3,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,Zone-Exits: 10,D2,L3,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,Zone-Exits: 11,D3,L2,5:5,,,,,Auslösung,,Good,
MS17_HCR_A,Low Q Chance Against: 1,D1,L1,5:5,Volley,Auf Tor,,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 2,D1,L1,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 3,D1,L2,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
MS17_HCR_A,Low Q Chance Against: 4,D1,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,Standart,0.1,,
MS17_HCR_A,Low Q Chance Against: 5,D1,L1,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 6,D1,L3,5:5,Direkt,Geblockt,Micha Strohl,,Auslösung,0.1,,
MS17_HCR_A,Low Q Chance Against: 7,D1,L2,5:5,Gezogen,Geblockt,Luca Fankhauser,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 8,D1,L2,5:5,Gezogen,Geblockt,Christian Stucki,,Standart,0.1,,
MS17_HCR_A,Low Q Chance Against: 9,D1,L2,5:5,Handgelenk,Neben Tor,,,Standart,0.2,,
MS17_HCR_A,Low Q Chance Against: 10,D1,L1,5:5,Direkt,Auf Tor,,,Standart,0.1,,
MS17_HCR_A,Low Q Chance Against: 11,D1,L2,5:5,Direkt,Geblockt,Micha Strohl,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 12,D2,L3,5:5,Gezogen,Neben Tor,,,Nachsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 13,D2,L1,5:5,Gezogen,Geblockt,Kevin Kropf,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 14,D2,L1,5:5,Handgelenk,Neben Tor,,,Konter,0.1,,
MS17_HCR_A,Low Q Chance Against: 15,D2,L2,5:5,Direkt,Auf Tor,,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 16,D3,L2,5:5,Handgelenk,Neben Tor,,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 17,D3,L2,5:5,Direkt,Geblockt,Janis Lauber,,Standart,0.1,,
MS17_HCR_A,Low Q Chance Against: 18,D3,L3,5:5,Handgelenk,Auf Tor,,,Konter,0.1,,
MS17_HCR_A,Low Q Chance Against: 19,D3,L1,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
MS17_HCR_A,Low Q Chance Against: 20,D3,L1,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 21,D3,L1,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance Against: 22,D3,L1,5:5,Volley,Neben Tor,,,Auslösung,0.3,,
MS17_HCR_A,Low Q Chance For: 1,D1,L3,5:5,Gezogen,Geblockt,Martin Mosimann,Maurice Aebersold,Nachsetzen,0.1,,
MS17_HCR_A,Low Q Chance For: 2,D1,L2,5:5,Gezogen,Neben Tor,Matteo Steiner,,Auslösung,0.1,,
MS17_HCR_A,Low Q Chance For: 3,D1,L2,5:5,Gezogen,Neben Tor,Lukas Münger,Luca Fankhauser,Auslösung,0.1,,
MS17_HCR_A,Low Q Chance For: 4,D1,L2,5:5,Volley,Neben Tor,Luca Fankhauser,Janis Lauber,Auslösung,0.1,,
MS17_HCR_A,Low Q Chance For: 5,D1,L3,5:5,Handgelenk,Auf Tor,Arno Althaus,Steiner Luca,Konter,0.2,,
MS17_HCR_A,Low Q Chance For: 6,D1,L2,5:5,Gezogen,Geblockt,Janis Lauber,,Standart,0.1,,
MS17_HCR_A,Low Q Chance For: 7,D1,L2,5:5,Gezogen,Auf Tor,Janis Lauber,,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance For: 8,D1,L2,5:5,Handgelenk,Auf Tor,Matteo Steiner,,Konter,0.1,,
MS17_HCR_A,Low Q Chance For: 9,D1,L3,5:5,Handgelenk,Auf Tor,Luca Steiner,,Standart,0.2,,
MS17_HCR_A,Low Q Chance For: 10,D2,L1,5:5,Gezogen,Auf Tor,Simon Steiner,Elias Lunnestad,Auslösung,0.2,,
MS17_HCR_A,Low Q Chance For: 11,D2,L2,5:5,Handgelenk,Auf Tor,Christian Stucki,Janis Lauber,Auslösung,0.1,,
MS17_HCR_A,Low Q Chance For: 12,D2,L3,5:5,Handgelenk,Auf Tor,Janis Schwarz,,Konter,0.3,,
MS17_HCR_A,Low Q Chance For: 13,D2,L2,5:5,Direkt,Auf Tor,Matteo Steiner,Luca Fankhauser,Standart,0.3,,
MS17_HCR_A,Low Q Chance For: 14,D2,L1,5:5,,Geblockt,Elias Lunnestad,Kevin Kropf,Konter,0.2,,
MS17_HCR_A,Low Q Chance For: 15,D2,L1,5:5,Direkt,Auf Tor,Elias Lunnestad,Strohl Micha,Konter,0.1,,
MS17_HCR_A,Low Q Chance For: 16,D2,L2,5:5,Handgelenk,Neben Tor,Luca Fankhauser,,"Konter, Standart","0.1, 0.1",,
MS17_HCR_A,Low Q Chance For: 17,D2,L1,5:5,Handgelenk,Neben Tor,Gustav Svensson,Matteo Steiner,Festsetzen,0.1,,
MS17_HCR_A,Low Q Chance For: 18,D2,L1,5:5,Direkt,Auf Tor,Simon Steiner,,Konter,0.1,,
MS17_HCR_A,Low Q Chance For: 19,D3,L2,5:5,Handgelenk,Geblockt,Christian Stucki,,Konter,0.1,,
MS17_HCR_A,Low Q Chance For: 20,D3,L1,5:5,Gezogen,Geblockt,Simon Steiner,,Konter,0.1,,
MS17_HCR_A,Low Q Chance For: 21,D3,L2,5:5,Gezogen,Geblockt,Janis Lauber,,Standart,0.1,,
MS17_HCR_A,ZOE Gegner: 1,D1,L3,5:5,,,,,Auslösung,,,Good
MS17_HCR_A,ZOE Gegner: 2,D1,L3,5:5,,,,,Auslösung,,,Bad
MS17_HCR_A,ZOE Gegner: 3,D1,L3,5:5,,,,,Auslösung,,,Good
MS17_HCR_A,ZOE Gegner: 4,D2,L1,5:5,,,,,Auslösung,,,Bad
