Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_VF_7,ZOE For: 1,D1,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 2,D1,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_7,ZOE For: 3,D1,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 4,D1,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 5,D1,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 6,D1,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_7,ZOE For: 7,D1,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_7,ZOE For: 8,D2,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 9,D2,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 10,D2,,L2,,5:5,,,,Auslösung,,Bad,
PF_VF_7,ZOE For: 11,"D2, D2",,L1,,"5:5, 5:5",,Gezogen,,Auslösung,0.1,Good,
PF_VF_7,ZOE For: 12,D2,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_7,ZOE For: 13,D2,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 14,D3,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 15,D3,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 16,D3,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 17,D3,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 18,D3,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 19,D3,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 20,D3,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 21,D3,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 22,D3,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_7,ZOE For: 23,OT,,L2,,5:5,,,,Auslösung,,Good,
PF_VF_7,Low Q Chance For: 1,D1,,L2,,5:5,,Handgelenk,Janis Lauber,Auslösung,0.1,,
PF_VF_7,Low Q Chance For: 2,D1,,L1,,5:5,,Gezogen,,Nachsetzen,0.1,,
PF_VF_7,Low Q Chance For: 3,D1,,L2,,5:5,,Direkt,,Standart,0.2,,
PF_VF_7,Low Q Chance For: 4,D1,,L2,,5:5,,Gezogen,Simon Steiner,Auslösung,0.2,,
PF_VF_7,Low Q Chance For: 5,"D1, D2",,L2,,5:5,,Gezogen,Simon Steiner,Auslösung,0.2,,
PF_VF_7,Low Q Chance For: 6,D2,,L2,,5:5,,Direkt,Kevin Kropf,Nachsetzen,0.2,,
PF_VF_7,Low Q Chance For: 7,D2,,L2,,5:5,,Gezogen,Janis Lauber,Standart,0.3,,
PF_VF_7,Low Q Chance For: 8,D2,,L2,,5:5,,Handgelenk,Kevin Kropf,Auslösung,0.2,,
PF_VF_7,Low Q Chance For: 9,D2,,L2,,5:5,,Gezogen,Micha Strohl,Standart,0.1,,
PF_VF_7,Low Q Chance For: 10,D2,,L1,,5:5,,Gezogen,Matteo Steiner,Auslösung,0.1,,
PF_VF_7,Low Q Chance For: 11,D2,,L1,,5:5,,Gezogen,Matteo Steiner,Festsetzen,0.1,,
PF_VF_7,Low Q Chance For: 12,D2,,L2,,5:5,,Gezogen,Simon Steiner,Auslösung,0.2,,
PF_VF_7,Low Q Chance For: 13,D2,,L2,,5:5,,Gezogen,Simon Steiner,Auslösung,0.2,,
PF_VF_7,Low Q Chance For: 14,D2,,L2,,5:5,,Handgelenk,Gustav Svensson,Standart,0.2,,
PF_VF_7,Low Q Chance For: 15,D3,,L1,,5:5,,Gezogen,Luca Steiner,Festsetzen,0.2,,
PF_VF_7,Low Q Chance For: 16,D3,,L2,,5:5,,Handgelenk,Kevin Kropf,Auslösung,0.2,,
PF_VF_7,Low Q Chance For: 17,D3,,L1,,5:5,,Gezogen,Nick Pfister,Festsetzen,0.3,,
PF_VF_7,Low Q Chance For: 18,D3,,L2,,5:5,,Gezogen,Simon Steiner,Standart,0.2,,
PF_VF_7,Low Q Chance For: 19,D3,,L2,,5:5,,Direkt,Micha Strohl,Standart,0.1,,
PF_VF_7,Low Q Chance For: 20,D3,,L1,,5:5,,Handgelenk,Luca Steiner,Festsetzen,0.1,,
PF_VF_7,Low Q Chance For: 21,D3,,L1,,5:5,,Gezogen,Nick Pfister,Konter,0.2,,
PF_VF_7,Low Q Chance For: 22,OT,,L2,,5:5,,Gezogen,Janis Lauber,Auslösung,0.2,,
PF_VF_7,Low Q Chance For: 23,OT,,L1,,5:5,,Handgelenk,Luca Steiner,Auslösung,0.2,,
PF_VF_7,ZOE Gegner: 1,D1,,L3,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 2,D1,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 3,D1,,L2,,5:5,,,,Auslösung,,,Bad
PF_VF_7,ZOE Gegner: 4,D1,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 5,D2,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 6,D2,,L1,,5:5,,,,Auslösung,,,Bad
PF_VF_7,ZOE Gegner: 7,D2,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 8,D2,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 9,D2,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 10,D2,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 11,D2,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 12,D2,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 13,D2,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 14,D2,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 15,D3,,L1,,5:5,,,,Auslösung,,,Bad
PF_VF_7,ZOE Gegner: 16,D3,,L1,,5:5,,,,Auslösung,,,Bad
PF_VF_7,ZOE Gegner: 17,D3,,L1,,5:5,,,,Auslösung,,,Bad
PF_VF_7,ZOE Gegner: 18,D3,,L1,,5:5,,,,Auslösung,,,Bad
PF_VF_7,ZOE Gegner: 19,D3,,L1,,5:5,,,,Auslösung,,,Bad
PF_VF_7,ZOE Gegner: 20,D3,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 21,D3,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 22,D3,,L2,,5:5,,,,Auslösung,,,Good
PF_VF_7,ZOE Gegner: 23,OT,,L1,,5:5,,,,Auslösung,,,Good
PF_VF_7,Low Q Chance Against: 1,D1,,L3,,5:5,,Gezogen,,Auslösung,0.2,,
PF_VF_7,Low Q Chance Against: 2,D1,,L1,,5:5,,Gezogen,,Auslösung,0.1,,
PF_VF_7,Low Q Chance Against: 3,D1,,L2,,5:5,,Direkt,,Standart,0.1,,
PF_VF_7,Low Q Chance Against: 4,D2,,L2,,5:5,,Direkt,,Nachsetzen,0.2,,
PF_VF_7,Low Q Chance Against: 5,D2,,L2,,5:5,,Gezogen,,Konter,0.1,,
PF_VF_7,Low Q Chance Against: 6,D2,,L2,,5:5,,Gezogen,,Festsetzen,0.1,,
PF_VF_7,Low Q Chance Against: 7,D2,,L2,,5:5,,Gezogen,,Nachsetzen,0.2,,
