Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_VF_7,Low Q Chance Against: 8,D2,,L2,,5:5,,Gezogen,,Konter,0.2,,
PF_VF_7,Low Q Chance Against: 9,D2,,L1,,5:5,,Gezogen,,Auslösung,0.1,,
PF_VF_7,Low Q Chance Against: 10,D2,,L2,,5:5,,Gezogen,,Auslösung,0.1,,
PF_VF_7,Low Q Chance Against: 11,D2,,L2,,5:5,,Direkt,,Standart,0.2,,
PF_VF_7,Low Q Chance Against: 12,D2,,L1,,5:5,,Gezogen,,Festsetzen,0.1,,
PF_VF_7,Low Q Chance Against: 13,D3,,L1,,5:5,,Gezogen,,Konter,0.2,,
PF_VF_7,Low Q Chance Against: 14,D3,,L1,,5:5,,Direkt,,Festsetzen,0.2,,
PF_VF_7,Low Q Chance Against: 15,D3,,L2,,5:5,,Direkt,,Auslösung,0.1,,
PF_VF_7,Low Q Chance Against: 16,D3,,L2,,5:5,,Gezogen,,Festsetzen,0.1,,
PF_VF_7,Low Q Chance Against: 17,OT,,L2,,5:5,,Gezogen,,Standart,0.3,,
PF_VF_7,Zone-Exits: 1,D1,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,Zone-Exits: 2,D1,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_7,Zone-Exits: 3,D1,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,Zone-Exits: 4,D2,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_7,Zone-Exits: 5,D2,,L1,,5:5,,,,Auslösung,,Bad,
PF_VF_7,Zone-Exits: 6,OT,,L1,,5:5,,,,Auslösung,,Good,
PF_VF_7,Divers: 1,,,,,,,,,,,,
PF_VF_7,Divers: 2,D1,,L1,,5:5,,,,Standart,,,
PF_VF_7,Divers: 3,D2,,,,5:5,,,Luca Steiner,,,,
PF_VF_7,Divers: 4,,,,,,,,,,,,
PF_VF_7,Divers: 5,,,,,5:5,,,Nick Pfister,,,,
PF_VF_7,Tor Gegner: 1,D1,,L2,,5:5,,Gezogen,,Auslösung,0.2,,
PF_VF_7,Tor Gegner: 2,D1,,L2,,5:5,,Gezogen,,Konter,0.2,,
PF_VF_7,Tor Gegner: 3,OT,,L1,,5:5,,Direkt,,Konter,0.3,,
PF_VF_7,Mid Q Chance For: 1,D1,,L1,,5:5,,Direkt,,Festsetzen,0.3,,
PF_VF_7,Mid Q Chance For: 2,D1,,L1,,5:5,,Handgelenk,,Auslösung,0.4,,
PF_VF_7,Mid Q Chance For: 3,D2,,L1,,5:5,,Direkt,Martin Mosimann,Auslösung,0.3,,
PF_VF_7,Mid Q Chance For: 4,D2,,L2,,5:5,,Direkt,Micha Strohl,Festsetzen,0.3,,
PF_VF_7,Mid Q Chance For: 5,D2,,L2,,5:5,,Gezogen,Kevin Kropf,Konter,0.4,,
PF_VF_7,Mid Q Chance For: 6,D3,,L1,,5:5,,Handgelenk,Matteo Steiner,Konter,0.3,,
PF_VF_7,Mid Q Chance For: 7,OT,,L2,,5:5,,Gezogen,Janis Lauber,Nachsetzen,0.3,,
PF_VF_7,Mid Q Chance Against: 1,D1,,L2,,5:5,,Gezogen,,Nachsetzen,0.3,,
PF_VF_7,Mid Q Chance Against: 2,D1,,L2,,5:5,,Direkt,,Standart,0.3,,
PF_VF_7,Mid Q Chance Against: 3,D2,,L2,,5:5,,Direkt,,Konter,0.3,,
PF_VF_7,Mid Q Chance Against: 4,D2,,L1,,5:5,,Direkt,,Konter,0.4,,
PF_VF_7,Mid Q Chance Against: 5,D2,,L1,,5:5,,Gezogen,,Konter,0.4,,
PF_VF_7,Mid Q Chance Against: 6,D3,,L2,,5:5,,Direkt,,Festsetzen,0.3,,
PF_VF_7,Tor Tigers: 1,D1,,L1,,5:5,,Handgelenk,Matteo Steiner,Auslösung,0.4,,
PF_VF_7,Tor Tigers: 2,D2,,L2,,5:5,,,Janis Lauber,Auslösung,0.4,,
PF_VF_7,Def.Transition: 1,D2,,L2,,5:5,,,,Konter,,,
PF_VF_7,Nachsetzen Tigers: 1,D2,,L2,Good,5:5,,,,Nachsetzen,,,
PF_VF_7,High Q Chance Against: 1,D2,,L1,,5:5,,Direkt,,Pressing,0.7,,
PF_VF_7,Pressing: 1,D2,,L1,Good,5:5,,,,Pressing,,,
PF_VF_7,High Q Chance For: 1,D2,,L1,,5:5,,Direkt,Nick Pfister,Konter,0.5,,
PF_VF_7,Pot + Chance Against: 1,OT,,L2,,5:5,,Direkt,,Konter,0.3,,
