Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS14_Chur_A,Low Q Chance For: 10,D2,L2,5:5,Direkt,Geblockt,Martin Mosimann,Matteo Steiner,Festsetzen,0.1,,
MS14_Chur_A,Low Q Chance For: 11,D2,L1,5:5,Direkt,Geblockt,Simon Steiner,Gustav Svensson,Standart,0.1,,
MS14_Chur_A,Low Q Chance For: 12,D2,L1,5:5,Handgelenk,Geblockt,Gustav Svensson,Steiner Simon,Konter,0.1,,
MS14_Chur_A,Low Q Chance For: 13,D2,L2,5:5,Direkt,Neben Tor,Matteo Steiner,Luca Fankhauser,Auslösung,0.2,,
MS14_Chur_A,Low Q Chance For: 14,D2,L2,5:5,Gezogen,Geblockt,Martin Mosimann,,Festsetzen,0.1,,
MS14_Chur_A,Low Q Chance For: 15,D2,L2,5:5,Direkt,Neben Tor,Matteo Steiner,Janis Lauber,Festsetzen,0.2,,
MS14_Chur_A,Low Q Chance For: 16,D2,L1,5:5,Gezogen,Geblockt,Kevin Kropf,,Festsetzen,0.1,,
MS14_Chur_A,Low Q Chance For: 17,D2,L2,5:5,Volley,Neben Tor,Nick Pfister,Matteo Steiner,Festsetzen,0.2,,
MS14_Chur_A,Low Q Chance For: 18,D2,L1,5:5,Gezogen,Auf Tor,Kevin Kropf,Gustav Svensson,Auslösung,0.3,,
MS14_Chur_A,Low Q Chance For: 19,D3,L1,5:5,Handgelenk,Geblockt,Elias Lunnestad,Gustav Svensson,Auslösung,0.2,,
MS14_Chur_A,Low Q Chance For: 20,D3,L2,5:5,Gezogen,Geblockt,Matteo Steiner,Nick Pfister,Festsetzen,0.1,,
MS14_Chur_A,Low Q Chance For: 21,D3,L2,5:5,Handgelenk,Geblockt,"Janis Lauber, Janis Lauber",Matteo Steiner,Auslösung,0.1,,
MS14_Chur_A,Low Q Chance For: 22,D3,L2,5:5,Gezogen,Geblockt,Matteo Steiner,Janis Lauber,Standart,0.1,,
MS14_Chur_A,Low Q Chance For: 23,D3,L1,5:5,Direkt,Neben Tor,Gustav Svensson,Matteo Steiner,Standart,0.2,,
MS14_Chur_A,Low Q Chance For: 24,D3,L1,5:5,Gezogen,Auf Tor,Kevin Kropf,Micha Strohl,Auslösung,0.2,,
MS14_Chur_A,Low Q Chance For: 25,D3,L1,5:5,Gezogen,Auf Tor,Gustav Svensson,,Standart,0.1,,
MS14_Chur_A,Low Q Chance For: 26,D3,L1,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.2,,
MS14_Chur_A,Low Q Chance For: 27,D3,L1,5:5,Gezogen,Geblockt,Simon Steiner,Gustav Svensson,Festsetzen,0.2,,
MS14_Chur_A,High Q Chance For: 1,D2,L1,5:5,Direkt,Auf Tor,Simon Steiner,Gustav Svensson,Festsetzen,0.5,,
MS14_Chur_A,High Q Chance For: 2,D2,L1,5:5,Handgelenk,Neben Tor,Elias Lunnestad,Kevin Kropf,Konter,0.4,,
MS14_Chur_A,High Q Chance For: 3,D2,L2,5:5,Handgelenk,Auf Tor,Janis Lauber,Matteo Steiner,Auslösung,0.5,,
MS14_Chur_A,Tor Tigers: 5,D3,6:5,6:5,Direkt,,Jan Ewald,Gustav Svensson,,0.7,,
MS14_Chur_A,Pot + Chance For: 1,D2,L1,5:5,Direkt,,,,Festsetzen,0.1,,
MS14_Chur_A,High Q Chance Against: 1,D3,L1,5:5,Handgelenk,Auf Tor,,,Konter,0.5,,
MS14_Chur_A,Mid Q Chance Against: 1,D3,L2,5:5,Direkt,Auf Tor,,,Festsetzen,0.3,,
