Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Nummerische Spielsituation_DEF,Nummerische Spielsituation_OFF,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against,Zentralline
MS20_Uster,Low Q Chance For: 15,D3,L1,,5:5,,,Gezogen,Neben Tor,,,Pressing,0.2,,,
MS20_Uster,Low Q Chance For: 16,D3,L2,,5:5,,,Handgelenk,Geblockt,Christian Stucki,,Festsetzen,0.1,,,
MS20_Uster,Low Q Chance For: 17,D3,L2,,5:5,,,Direkt,Geblockt,,,Auslösung,0.2,,,
MS20_Uster,High Q Chance Against: 1,D1,L3,,5:5,,,Volley,Auf Tor,,,Konter,0.5,,,
MS20_Uster,Standart ohne Ball: 1,D1,L3,,5:5,,,,,Janis Schwarz,,Standart,,,,
MS20_Uster,Zone-Exits: 1,D1,L1,,5:5,,,,,Björn Schenkel,,Auslösung,,Good,,
MS20_Uster,Pressing: 1,D2,L1,Good,5:5,,,,,,,Pressing,,,,
MS20_Uster,Pressing: 2,D2,L3,Good,5:5,,,,,,,Pressing,,,,
MS20_Uster,Pressing: 3,D3,L1,Good,5:5,,,,,,,,,,,
MS20_Uster,Pressing: 4,D3,L1,Good,5:5,,,,,,,Pressing,,,,
MS20_Uster,Off. Transition: 1,D2,L1,,5:5,,,,,,,Konter,,,,
MS20_Uster,Off. Transition: 2,,L2,,5:5,,,,,Christian Stucki,,Konter,,,,
MS20_Uster,Tor Tigers: 1,D2,L2,,5:5,,,Direkt,,Christian Stucki,,Auslösung,0.5,,,
MS20_Uster,Tor Tigers: 2,D3,L2,,5:5,,,Handgelenk,,Kevin Kropf,,Pressing,0.1,,,
MS20_Uster,Tor Tigers: 3,D3,L1,,5:5,,,Direkt,,Nick Pfister,,Auslösung,0.5,,,
MS20_Uster,Tor Tigers: 4,D3,L1,,5:5,,,Gezogen,,Matteo Steiner,,Standart,0.3,,,
MS20_Uster,Tor Tigers: 5,D3,L2,,5:5,,,Gezogen,,Gustav Svensson,,Auslösung,0.3,,,
MS20_Uster,Tor Tigers: 6,D3,L2,,5:5,,,Handgelenk,,Arno Althaus,,Konter,0.4,,,
