Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS18_Malans H,Pressing: 1,D1,L1,Good,5:5,,,,,Pressing,,,
MS18_Malans H,Pressing: 2,D1,L2,Good,5:5,,,,,Pressing,,,
MS18_Malans H,Pressing: 3,D3,L2,Bad,5:5,,,,,Pressing,,,
MS18_Malans H,Pressing: 4,D3,L1,Bad,5:5,,,,,Pressing,,,
MS18_Malans H,Zone-Exits: 1,D2,L3,,5:5,,,,,Auslösung,,Bad,
MS18_Malans H,Mid Q Chance Against: 1,D2,L3,,5:5,Direkt,Auf Tor,,,Nachsetzen,0.4,,
MS18_Malans H,Mid Q Chance Against: 2,D3,L1,,5:5,Gezogen,Auf Tor,Kevin Kropf,,Konter,0.4,,
MS18_Malans H,Mid Q Chance Against: 3,D3,L1,,5:5,Gezogen,Neben Tor,,,Auslösung,0.3,,
MS18_Malans H,Tor Tigers: 1,D2,L2,,5:5,Volley,,,,Konter,0.5,,
MS18_Malans H,Tor Tigers: 2,D2,L1,,5:5,Direkt,,Simon Steiner,,Pressing,0.6,,
MS18_Malans H,Tor Tigers: 3,D3,L1,,5:5,Handgelenk,,Maurice Aebersold,,Auslösung,0.4,,
MS18_Malans H,Tor Tigers: 4,D3,L1,,5:5,Gezogen,,Gustav Svensson,,Konter,0.4,,
MS18_Malans H,High Q Chance Against: 1,D2,L1,,5:5,Handgelenk,Auf Tor,,,Konter,0.4,,
MS18_Malans H,High Q Chance Against: 2,D3,L1,,5:5,Direkt,Auf Tor,,,Konter,0.5,,
