Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS13_GC_H,Low Q Chance For: 8,D2,L1,5:5,Gezogen,Auf Tor,,,Konter,0.1,,
MS13_GC_H,Low Q Chance For: 9,D2,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,,Konter,0.2,,
MS13_GC_H,Low Q Chance For: 10,D2,L3,5:5,Gezogen,Auf Tor,Martin Mosimann,,Standart,0.1,,
MS13_GC_H,Low Q Chance For: 11,D2,L2,5:5,Gezogen,Neben Tor,Matteo Steiner,Janis Lauber,Konter,0.1,,
MS13_GC_H,Low Q Chance For: 12,D2,L1,5:5,Direkt,Auf Tor,Kevin Kropf,Janis Lauber,Auslösung,0.1,,
MS13_GC_H,Low Q Chance For: 13,D2,L3,5:5,Gezogen,Geblockt,Luca Steiner,,Auslösung,0.1,,
MS13_GC_H,Low Q Chance For: 14,D2,L3,5:5,Gezogen,Geblockt,Luca Steiner,,Festsetzen,0.1,,
MS13_GC_H,Low Q Chance For: 15,D3,L3,5:5,Gezogen,Neben Tor,Christian Stucki,,Konter,0.1,,
MS13_GC_H,Low Q Chance For: 16,D3,L2,5:5,Direkt,Auf Tor,Luca Steiner,,Standart,0.1,,
MS13_GC_H,Tor Gegner: 1,D1,L2,5:5,Handgelenk,,,,Konter,0.5,,
MS13_GC_H,Tor Gegner: 2,D1,BP2,4:5,,,,,,0.8,,
MS13_GC_H,Tor Gegner: 3,D2,BP1,4:5,Handgelenk,,,,,0.2,,
MS13_GC_H,Tor Tigers: 1,D1,PP1,5:4,Gezogen,,Matteo Steiner,,,0.3,,
MS13_GC_H,Tor Tigers: 2,D2,L2,5:5,Gezogen,,Matteo Steiner,,Nachsetzen,0.3,,
MS13_GC_H,Tor Tigers: 3,D2,L1,5:5,Gezogen,,Gustav Svensson,,Konter,0.2,,
MS13_GC_H,Tor Tigers: 4,D3,L2,5:5,Direkt,,Janis Lauber,,Pressing,0.4,,
MS13_GC_H,Tor Tigers: 5,D3,L3,5:5,Handgelenk,,Luca Steiner,,Auslösung,0.4,,
MS13_GC_H,Tor Tigers: 6,D3,L1,5:5,Handgelenk,,Gustav Svensson,,Auslösung,0.4,,
MS13_GC_H,Pot + Chance For: 1,D1,L1,5:5,Direkt,,Kevin Kropf,,Festsetzen,0.5,,
MS13_GC_H,Pot + Chance For: 2,D3,L2,5:5,Direkt,,Nick Pfister,,Pressing,0.5,,
MS13_GC_H,High Q Chance Against: 1,D2,L3,5:5,Direkt,Neben Tor,,,Konter,0.5,,
MS13_GC_H,High Q Chance Against: 2,D3,L2,5:5,Handgelenk,Auf Tor,,,Auslösung,0.6,,
