Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Spieler involved ,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS9_Uster H,ZOE For: 23,D3,L1,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 24,D3,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 25,D3,L1,5:5,,,,,,Auslösung,,Bad,
MS9_Uster H,Mid Q Chance For: 1,D1,L1,5:5,Handgelenk,Neben Tor,Kevin Kropf,Steiner Simon,,Auslösung,0.4,,
MS9_Uster H,Mid Q Chance For: 2,D1,L1,5:5,Direkt,Neben Tor,Christian Stucki,Gustav Svensson,,Festsetzen,0.3,,
MS9_Uster H,Mid Q Chance For: 3,D1,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,,,Konter,0.3,,
MS9_Uster H,Mid Q Chance For: 4,D2,L2,5:5,Direkt,Neben Tor,Janis Lauber,,,Festsetzen,0.3,,
MS9_Uster H,Pot + Chance For: 1,D1,L3,5:5,Volley,Neben Tor,Jan Ewald,,,Konter,0.2,,
MS9_Uster H,Pot + Chance For: 2,D1,L1,5:5,Volley,Neben Tor,Gustav Svensson,,,Standart,0.3,,
MS9_Uster H,Pot + Chance For: 3,D3,L1,5:5,Volley,Auf Tor,Simon Steiner,,,Festsetzen,0.1,,
MS9_Uster H,Pot + Chance For: 4,D3,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,,,Konter,0.3,,
MS9_Uster H,Tor Gegner: 1,D1,BP1,4:5,Handgelenk,,,,,,0.3,,
MS9_Uster H,Tor Gegner: 2,D1,L3,5:5,Gezogen,,,,,Nachsetzen,0.3,,
MS9_Uster H,Tor Gegner: 3,D2,BP2,4:5,Direkt,,,,,,0.8,,
MS9_Uster H,Tor Gegner: 4,D3,L2,5:5,Direkt,,,,,Nachsetzen,0.6,,
MS9_Uster H,Mid Q Chance Against: 1,D1,L2,5:5,"Handgelenk, Gezogen",Auf Tor,,,,Konter,0.4,,
MS9_Uster H,Mid Q Chance Against: 2,D2,L2,5:5,Handgelenk,Auf Tor,,,,Konter,0.4,,
MS9_Uster H,Mid Q Chance Against: 3,D3,L2,5:5,Volley,Auf Tor,,,,Nachsetzen,0.4,,
MS9_Uster H,Mid Q Chance Against: 4,D3,L1,5:5,Handgelenk,Auf Tor,,,,Konter,0.3,,
MS9_Uster H,Mid Q Chance Against: 5,D3,L2,5:6,Volley,Neben Tor,,,,Nachsetzen,0.3,,
MS9_Uster H,High Q Chance For: 1,D1,L3,5:5,Handgelenk,Neben Tor,Hannes Kjellberg,,,Konter,0.5,,
MS9_Uster H,High Q Chance For: 2,D2,L1,5:5,Handgelenk,Neben Tor,Simon Steiner,,,Konter,0.6,,
MS9_Uster H,High Q Chance For: 3,D2,L2,5:5,Handgelenk,Auf Tor,Hannes Kjellberg,,,Pressing,0.6,,
MS9_Uster H,High Q Chance For: 4,D3,L1,5:5,Handgelenk,Auf Tor,Kevin Kropf,,,Konter,0.4,,
MS9_Uster H,Tor Tigers: 1,D2,L1,5:5,Direkt,,Gustav Svensson,Gustav Svensson,,Standart,0.5,,
MS9_Uster H,Tor Tigers: 2,D2,L1,5:5,Gezogen,,Simon Steiner,,,Festsetzen,0.3,,
MS9_Uster H,Tor Tigers: 3,D2,PP1,5:4,Direkt,,Matteo Steiner,,,,0.3,,
MS9_Uster H,Tor Tigers: 4,D3,L2,5:5,Gezogen,,Matteo Steiner,Nick Pfister,,Nachsetzen,0.2,,
MS9_Uster H,Tor Tigers: 5,D3,L1,5:5,Handgelenk,,Gustav Svensson,,,Konter,0.3,,
MS9_Uster H,Tor Tigers: 6,D3,L2,5:5,Handgelenk,,Janis Lauber,Matteo Steiner,,Auslösung,0.5,,
MS9_Uster H,Tor Tigers: 7,D3,L1,5:6,Handgelenk,,Kevin Kropf,,,,0.6,,
MS9_Uster H,Pot + Chance Against: 1,D2,L2,5:5,Direkt,,,,,Auslösung,0.4,,
MS9_Uster H,Pot + Chance Against: 2,D3,L1,5:5,Direkt,,,,,Festsetzen,0.2,,
MS9_Uster H,Pot + Chance Against: 3,D3,L2,5:5,Volley,,,,,Konter,0.2,,
