league,Spiel,team_for,team_against,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 13,D2,L3,,5:5,Direkt,Geblockt,Festsetzen,0.10,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 14,D2,L1,,5:5,Direkt,Auf Tor,Standart,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 15,D3,L1,,5:5,Direkt,Neben Tor,Auslösung,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 16,D3,L1,,5:5,Gezogen,,Auslösung,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 17,D3,L3,,5:5,Gezogen,Neben Tor,Auslösung,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 18,D3,L2,,5:5,Gezogen,Geblockt,Festsetzen,0.10,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 19,D3,,,5:5,Direkt,Auf Tor,Unkontrolliert,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 20,D3,L1,,5:5,Gezogen,Geblockt,Standart,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 21,D3,L3,,5:5,Gezogen,,Auslösung,0.25,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 22,D3,L2,,5:5,Gezogen,Geblockt,Auslösung,0.20,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 23,D3,L1,,5:5,Gezogen,Geblockt,Festsetzen,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 24,D3,L1,,5:5,Gezogen,Geblockt,Standart,0.20,,
