Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_VF_5_FBTG,High Q Chance Against: 1,Ballbesitzwechsel NEIN,D2,L1,,5:5,Direkt,Auf Tor,,,Konter,0.4,,
PF_VF_5_FBTG,High Q Chance Against: 2,Ballbesitzwechsel NEIN,D2,L3,,5:5,Direkt,Neben Tor,,,Festsetzen,0.5,,
PF_VF_5_FBTG,High Q Chance Against: 3,Ballbesitzwechsel NEIN,D2,L1,,5:5,Direkt,Neben Tor,,,Auslösung,0.5,,
PF_VF_5_FBTG,High Q Chance For: 1,Ballbesitzwechsel NEIN,D2,L1,,5:5,Direkt,Auf Tor,Matteo Steiner,Luca Fankhauser,Konter,0.5,,
PF_VF_5_FBTG,High Q Chance For: 2,Ballbesitzwechsel NEIN,D3,L1,,5:5,Volley,Auf Tor,Matteo Steiner,,Auslösung,0.3,,
PF_VF_5_FBTG,High Q Chance For: 3,Ballbesitzwechsel NEIN,D3,L1,,5:5,Direkt,Geblockt,Matteo Steiner,Thomas Gfeller,Konter,0.4,,
PF_VF_5_FBTG,Low Q Chance Against: 1,Ballbesitzwechsel NEIN,D1,L3,,5:5,Direkt,Neben Tor,,,Auslösung,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 2,Ballbesitzwechsel NEIN,D1,L3,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 3,Ballbesitzwechsel NEIN,D1,L1,,5:5,Gezogen,Neben Tor,,,Konter,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 4,Ballbesitzwechsel NEIN,D1,L2,,5:5,Direkt,Geblockt,Gustav Svensson,,Festsetzen,0.1,,
PF_VF_5_FBTG,Low Q Chance Against: 5,Ballbesitzwechsel NEIN,D2,L3,,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 6,Ballbesitzwechsel NEIN,D2,L3,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
PF_VF_5_FBTG,Low Q Chance Against: 7,Ballbesitzwechsel NEIN,D2,L2,,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
PF_VF_5_FBTG,Low Q Chance Against: 8,Ballbesitzwechsel NEIN,D2,L2,,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 9,Ballbesitzwechsel NEIN,D2,L1,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
PF_VF_5_FBTG,Low Q Chance Against: 10,Ballbesitzwechsel NEIN,D2,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 11,Ballbesitzwechsel NEIN,D3,L1,,5:5,Direkt,Auf Tor,,,Auslösung,0.1,,
PF_VF_5_FBTG,Low Q Chance Against: 12,Ballbesitzwechsel NEIN,D3,L1,,5:5,Direkt,Auf Tor,,,Festsetzen,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 13,Ballbesitzwechsel NEIN,D3,L1,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 14,Ballbesitzwechsel NEIN,D3,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 15,Ballbesitzwechsel NEIN,D3,L1,,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
PF_VF_5_FBTG,Low Q Chance Against: 16,Ballbesitzwechsel NEIN,D3,L2,,5:5,Direkt,Auf Tor,,,Auslösung,0.2,,
