Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS19_FBTG,Low Q Chance For: 18,Ballbesitzwechsel Ja,D3,L2,,5:5,Gezogen,Auf Tor,Maurice Aebersold,Steiner Simon,Auslösung,0.1,,
MS19_FBTG,Low Q Chance For: 19,Ballbesitzwechsel Nein,D3,L2,,5:5,Handgelenk,Geblockt,Matteo Steiner,,Standart,0.1,,
MS19_FBTG,Mid Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Neben Tor,,,Konter,0.3,,
MS19_FBTG,Mid Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Neben Tor,,,Festsetzen,0.3,,
MS19_FBTG,Mid Q Chance Against: 3,Ballbesitzwechsel Nein,D2,L2,,5:5,Handgelenk,Auf Tor,,,Konter,0.4,,
MS19_FBTG,Mid Q Chance Against: 4,Ballbesitzwechsel Ja,D3,L2,,5:5,Direkt,Neben Tor,,,Standart,0.4,,
MS19_FBTG,Mid Q Chance Against: 5,Ballbesitzwechsel Ja,D3,L2,,5:5,Handgelenk,Auf Tor,,,Konter,0.3,,
MS19_FBTG,Mid Q Chance For: 1,Ballbesitzwechsel Nein,D3,L1,,5:5,Handgelenk,Auf Tor,Luca Fankhauser,Matteo Steiner,Festsetzen,0.3,,
MS19_FBTG,Nachsetzen Tigers: 1,Ballbesitzwechsel Nein,D1,L3,Bad,5:5,,,Christian Stucki,Schwarz Janis,Nachsetzen,,,
MS19_FBTG,Nachsetzen Tigers: 2,Ballbesitzwechsel Nein,D1,L3,Good,5:5,,,Arno Althaus,Christian Stucki,Nachsetzen,,,
MS19_FBTG,Nachsetzen Tigers: 3,Ballbesitzwechsel Nein,D1,L3,Bad,5:5,,,,,Nachsetzen,,,
MS19_FBTG,Nachsetzen Tigers: 4,Ballbesitzwechsel Nein,D1,L3,Good,5:5,,,Arno Althaus,Christian Stucki,Nachsetzen,,,
MS19_FBTG,Nachsetzen Tigers: 5,Ballbesitzwechsel Ja,D2,L1,Good,5:5,,,Nick Pfister,Thomas Gfeller,Nachsetzen,,,
MS19_FBTG,Pot + Chance Against: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,,,,Festsetzen,0.2,,
MS19_FBTG,Pot + Chance Against: 2,Ballbesitzwechsel Nein,D1,L2,,5:5,Direkt,,,,Konter,0.2,,
MS19_FBTG,Pot + Chance Against: 3,Ballbesitzwechsel Nein,D2,L2,,5:5,Direkt,,,,Festsetzen,0.3,,
MS19_FBTG,Pot + Chance Against: 4,Ballbesitzwechsel Nein,D2,L3,,5:5,Direkt,,,,Auslösung,0.2,,
MS19_FBTG,Pot + Chance For: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,,Matteo Steiner,Matteo Steiner,Auslösung,0.2,,
MS19_FBTG,Pot + Chance For: 2,Ballbesitzechsel Nein,D2,L1,,5:5,Direkt,,Nick Pfister,Thomas Gfeller,Auslösung,0.3,,
MS19_FBTG,Pot + Chance For: 3,Ballbesitzechsel Nein,D3,L2,,5:5,Direkt,,Janis Lauber,Maurice Aebersold,Auslösung,0.3,,
MS19_FBTG,Pot + Chance For: 4,Ballbesitzechsel Nein,D3,L2,,5:5,Direkt,,Matteo Steiner,,Konter,0.2,,
MS19_FBTG,Tor Gegner: 1,,D1,L1,,5:5,Gezogen,,,,Standart,0.3,,
MS19_FBTG,Tor Gegner: 2,,D2,L3,,5:5,Direkt,,,,Konter,0.5,,
MS19_FBTG,Tor Gegner: 3,,D2,L2,,6:5,Direkt,,,,,0.4,,
MS19_FBTG,Tor Gegner: 4,,D2,L3,,5:5,Direkt,,,,Festsetzen,0.4,,
MS19_FBTG,Tor Gegner: 5,,D2,L1,,5:5,Handgelenk,,,,Festsetzen,0.3,,
MS19_FBTG,Tor Gegner: 6,,D3,L2,,5:5,Gezogen,,,,Konter,0.4,,
MS19_FBTG,Tor Tigers: 1,,D1,L1,,5:5,Direkt,,Thomas Gfeller,,Auslösung,0.2,,
