Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_HF_5_FBK,High Q Chance Against: 1,Ballbesitzwechsel Ja,D1,L2,,5:5,Direkt,Neben Tor,,,Festsetzen,0.5,,
PF_HF_5_FBK,High Q Chance Against: 2,Ballbesitzwechsel Nein,D1,BP,,4:5,Direkt,Neben Tor,,,,0.7,,
PF_HF_5_FBK,High Q Chance Against: 3,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.3,,
PF_HF_5_FBK,High Q Chance Against: 4,Ballbesitzwechsel Nein,D3,L1,,5:5,Direkt,Auf Tor,,,Konter,0.7,,
PF_HF_5_FBK,High Q Chance Against: 5,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.5,,
PF_HF_5_FBK,High Q Chance For: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Direkt,Neben Tor,Kevin Kropf,Steiner Simon,Konter,0.3,,
PF_HF_5_FBK,Low Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L2,,5:5,Handgelenk,Geblockt,Gustav Svensson,,Festsetzen,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 3,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 4,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Thomas Gfeller,,Festsetzen,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 5,Ballbesitzwechsel Ja,D1,L3,,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 6,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D1,L3,,5:5,Handgelenk,Geblockt,Lucas Schlegel,,Standart,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Geblockt,Nick Pfister,,Konter,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 9,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 10,Ballbesitzwechsel Nein,D1,L1,,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D1,BP1,,4:5,Direkt,Neben Tor,,,,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 12,Ballbesitzwechsel Nein,D1,BP1,,4:5,Direkt,Geblockt,Janis Lauber,,,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D1,BP1,,4:5,Direkt,Geblockt,Janis Lauber,,,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 14,Ballbesitzwechsel Nein,D1,BP1,,4:5,Direkt,Auf Tor,,,,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 15,Ballbesitzwechsel Nein,D2,BP1,,4:5,Gezogen,Geblockt,Christian Stucki,,,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 16,Ballbesitzwechsel Nein,D2,BP1,,4:5,Direkt,Auf Tor,,,,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 17,Ballbesitzwechsel Nein,D2,BP1,,4:5,Handgelenk,Neben Tor,,,,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 18,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 19,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 20,Ballbesitzwechsel Ja,D2,L3,,5:5,Gezogen,Neben Tor,,,Konter,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 21,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 22,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Auf Tor,,,Standart,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 23,Ballbesitzwechsel Nein,D2,L1,,5:5,Handgelenk,Auf Tor,,,Standart,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 24,Ballbesitzwechsel Ja,D2,L1,,5:5,Gezogen,Neben Tor,,,Standart,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 25,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,,Auslösung,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 26,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 27,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 28,Ballbesitzwechsel Nein,D3,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,,Festsetzen,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 29,Ballbesitzwechsel Ja,D3,L2,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
PF_HF_5_FBK,Low Q Chance Against: 30,Ballbesitzwechsel Nein,D3,BP1,,4:5,Gezogen,Neben Tor,,,,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 31,Ballbesitzwechsel Nein,D3,BP1,,4:5,Handgelenk,Auf Tor,,,,0.3,,
PF_HF_5_FBK,Low Q Chance Against: 32,Ballbesitzwechsel Ja,D3,L1,,5:5,Direkt,Geblockt,Matteo Steiner,,Festsetzen,0.2,,
PF_HF_5_FBK,Low Q Chance Against: 33,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Geblockt,Steiner Luca,,Festsetzen,0.2,,
