Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS22_Basel_A,High Q Chance For: 1,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Auf Tor,Nick Pfister,Luca Fankhauser,Konter,0.4,,
MS22_Basel_A,High Q Chance For: 2,Ballbesitzwechsel Ja,D2,L1,,5:5,Direkt,Neben Tor,Nick Pfister,Matteo Steiner,Konter,0.4,,
MS22_Basel_A,Low Q Chance Against: 1,Ballbesitzwechsel JA,D1,L1,,5:5,Gezogen,Geblockt,Thomas Gfeller,,Auslösung,0.1,,
MS22_Basel_A,Low Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L2,,5:5,Handgelenk,Neben Tor,,,Konter,0.2,,
MS22_Basel_A,Low Q Chance Against: 3,Ballbesitzwechsel Ja,D1,L2,,5:5,Handgelenk,Geblockt,Lucas Schlegel,,Auslösung,0.2,,
MS22_Basel_A,Low Q Chance Against: 4,Ballbesitzwechsel JA,D1,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,,Festsetzen,0.1,,
MS22_Basel_A,Low Q Chance Against: 5,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
MS22_Basel_A,Low Q Chance Against: 6,Ballbesitzwechsel Ja,D1,L3,,5:5,Gezogen,Geblockt,Micha Strohl,,Auslösung,0.1,,
MS22_Basel_A,Low Q Chance Against: 7,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Auf Tor,,,Konter,0.1,,
MS22_Basel_A,Low Q Chance Against: 8,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Konter,0.1,,
MS22_Basel_A,Low Q Chance Against: 9,Ballbesitzwechsel Nein,D2,L3,,5:5,Gezogen,Geblockt,Björn Schenkel,,Auslösung,0.1,,
MS22_Basel_A,Low Q Chance Against: 10,Ballbesitzwechsel Ja,D2,L2,,5:5,Direkt,Neben Tor,,,Festsetzen,0.2,,
MS22_Basel_A,Low Q Chance Against: 11,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
MS22_Basel_A,Low Q Chance Against: 12,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Neben Tor,,,Standart,0.1,,
MS22_Basel_A,Low Q Chance Against: 13,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,,Auslösung,0.1,,
MS22_Basel_A,Low Q Chance Against: 14,Ballbesitzwechsel Ja,D2,L2,,5:5,Direkt,Auf Tor,,,Festsetzen,0.1,,
MS22_Basel_A,Low Q Chance Against: 15,Ballbesitzwechsel Nein,D2,L3,,5:5,Direkt,Auf Tor,,,Konter,0.1,,
MS22_Basel_A,Low Q Chance Against: 16,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.1,,
MS22_Basel_A,Low Q Chance For: 1,"Ballbesitzwechsel JA, Ballbesitzwechsel Ja",D1,L1,,5:5,Direkt,Geblockt,Lukas Münger,Thomas Gfeller,Auslösung,0.1,,
MS22_Basel_A,Low Q Chance For: 2,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Auf Tor,Christian Stucki,Martin Mosimann,Festsetzen,0.1,,
MS22_Basel_A,Low Q Chance For: 3,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Björn Schenkel,Christian Stucki,Konter,0.1,,
MS22_Basel_A,Low Q Chance For: 4,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Neben Tor,Lucas Schlegel,Steiner Simon,Konter,0.1,,
MS22_Basel_A,Low Q Chance For: 5,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Thomas Gfeller,Lukas Münger,Konter,0.1,,
MS22_Basel_A,Low Q Chance For: 6,Ballbesitzwechsel Nein,D1,L2,,5:5,Direkt,Neben Tor,Gustav Svensson,Kevin Kropf,Standart,0.1,,
MS22_Basel_A,Low Q Chance For: 7,Ballbesitzwechsel Nein,D1,L2,,5:5,Direkt,Geblockt,Gustav Svensson,Kevin Kropf,Auslösung,0.1,,
MS22_Basel_A,Low Q Chance For: 8,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Auf Tor,Martin Mosimann,Christian Stucki,Standart,0.2,,
MS22_Basel_A,Low Q Chance For: 9,Ballbesitzwechsel Nein,D1,L2,,5:5,Handgelenk,Neben Tor,Kevin Kropf,Gustav Svensson,Auslösung,0.1,,
MS22_Basel_A,Low Q Chance For: 10,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Geblockt,Matteo Steiner,Lukas Münger,Festsetzen,0.1,,
MS22_Basel_A,Low Q Chance For: 11,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,Steiner Simon,Konter,0.1,,
MS22_Basel_A,Low Q Chance For: 12,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Christian Stucki,Strohl Micha,Auslösung,0.2,,
MS22_Basel_A,Low Q Chance For: 13,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Auf Tor,Kevin Kropf,Gustav Svensson,Festsetzen,0.2,,
MS22_Basel_A,Low Q Chance For: 14,Ballbesitzwechsel Ja,D2,L3,,5:5,Handgelenk,Auf Tor,Björn Schenkel,Christian Stucki,Konter,0.2,,
MS22_Basel_A,Low Q Chance For: 15,Ballbesitzwechsel Nein,D2,L3,,5:5,Direkt,Auf Tor,Arno Althaus,Micha Strohl,Auslösung,0.2,,
MS22_Basel_A,Low Q Chance For: 16,Ballbesitzwechsel Nein,D2,L3,,5:5,Gezogen,Geblockt,Arno Althaus,,Festsetzen,0.1,,
MS22_Basel_A,Low Q Chance For: 17,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Geblockt,Matteo Steiner,Thomas Gfeller,Standart,0.2,,
MS22_Basel_A,Low Q Chance For: 18,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Geblockt,Thomas Gfeller,,Standart,0.2,,
MS22_Basel_A,Low Q Chance For: 19,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Geblockt,Lukas Münger,Nick Pfister,Festsetzen,0.1,,
MS22_Basel_A,Low Q Chance For: 20,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Geblockt,Kevin Kropf,Gustav Svensson,Auslösung,0.1,,
MS22_Basel_A,Low Q Chance For: 21,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Neben Tor,Matteo Steiner,Luca Fankhauser,Festsetzen,0.2,,
MS22_Basel_A,Low Q Chance For: 22,Ballbesitzwechsel Nein,D3,L3,,5:5,Direkt,Auf Tor,Christian Stucki,Micha Strohl,Konter,0.2,,
MS22_Basel_A,Low Q Chance For: 23,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Auf Tor,Luca Fankhauser,,Konter,0.2,,
MS22_Basel_A,Mid Q Chance Against: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.3,,
MS22_Basel_A,Mid Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L3,,5:5,Gezogen,Geblockt,Björn Schenkel,,Konter,0.3,,
