Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_VF_2_FBTG,High Q Chance Against: 1,Ballbesitzwechsel JA,D1,L3,,5:5,Direkt,Auf Tor,,,Nachsetzen,0.4,,
PF_VF_2_FBTG,High Q Chance Against: 2,Ballbesitzwechsel JA,D3,L1,,5:5,Handgelenk,Auf Tor,,,Konter,0.4,,
PF_VF_2_FBTG,High Q Chance For: 1,Ballbesitzwechsel NEIN,D3,L2,,5:5,Direkt,Auf Tor,Steiner Simon,Janis Lauber,Nachsetzen,0.4,,
PF_VF_2_FBTG,High Q Chance For: 2,Ballbesitzwechsel NEIN,D3,L2,,5:5,Direkt,Auf Tor,Steiner Simon,Janis Lauber,Pressing,0.4,,
PF_VF_2_FBTG,High Q Chance For: 3,Ballbesitzwechsel NEIN,D3,L2,,5:5,Direkt,Neben Tor,Gustav Svensson,Kevin Kropf,Auslösung,0.4,,
PF_VF_2_FBTG,High Q Chance For: 4,Ballbesitzwechsel NEIN,D3,L1,,5:5,Direkt,Neben Tor,Nick Pfister,Matteo Steiner,Auslösung,0.4,,
PF_VF_2_FBTG,High Q Chance For: 5,Ballbesitzwechsel NEIN,D3,L1,,5:5,Direkt,Auf Tor,Thomas Gfeller,,Festsetzen,0.4,,
PF_VF_2_FBTG,Low Q Chance Against: 1,Ballbesitzwechsel NEIN,D1,L3,,5:5,Gezogen,Geblockt,Gian Mühlemann,,Auslösung,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 2,Ballbesitzwechsel NEIN,D1,L3,,5:5,Direkt,Neben Tor,,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 3,Ballbesitzwechsel NEIN,D1,L2,,5:5,Direkt,Geblockt,Gustav Svensson,,Zone-Exits,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 4,Ballbesitzwechsel JA,D1,L2,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 5,Ballbesitzwechsel NEIN,D1,L1,,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 6,Ballbesitzwechsel NEIN,D1,L3,,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 7,Ballbesitzwechsel NEIN,D1,L3,,5:5,Gezogen,Geblockt,Christian Stucki,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 8,Ballbesitzwechsel JA,D1,L3,,5:5,Direkt,Neben Tor,,,Standart,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 9,Ballbesitzwechsel JA,D1,L1,,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
PF_VF_2_FBTG,Low Q Chance Against: 10,Ballbesitzwechsel JA,D1,L3,,5:5,Handgelenk,Neben Tor,,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 11,Ballbesitzwechsel NEIN,D1,L3,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 12,Ballbesitzwechsel JA,D2,L3,,5:5,Volley,Neben Tor,,,Nachsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 13,Ballbesitzwechsel NEIN,D2,L3,,5:5,Gezogen,Geblockt,Schwarz Janis,,Standart,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 14,Ballbesitzwechsel JA,D2,L3,,5:5,Gezogen,Neben Tor,,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 15,Ballbesitzwechsel JA,D2,L1,,5:5,Volley,Auf Tor,,,Zone-Exits,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 16,Ballbesitzwechsel JA,D2,L2,,5:5,Gezogen,Geblockt,Strohl Micha,,Konter,0.2,,
PF_VF_2_FBTG,Low Q Chance Against: 17,Ballbesitzwechsel NEIN,D2,L2,,5:5,Gezogen,Geblockt,Steiner Luca,,Standart,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 18,Ballbesitzwechsel NEIN,D2,L3,,5:5,Direkt,Geblockt,Gian Mühlemann,,Standart,0.2,,
PF_VF_2_FBTG,Low Q Chance Against: 19,Ballbesitzwechsel JA,D3,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 20,Ballbesitzwechsel JA,D3,L1,,5:5,Direkt,Auf Tor,,,Konter,0.1,,
PF_VF_2_FBTG,Low Q Chance Against: 21,Ballbesitzwechsel NEIN,D3,L1,,5:5,Direkt,Neben Tor,,,Konter,0.2,,
PF_VF_2_FBTG,Low Q Chance For: 1,Ballbesitzwechsel JA,D1,L2,,5:5,Gezogen,Auf Tor,Steiner Simon,Kevin Kropf,Standart,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 2,Ballbesitzwechsel JA,D1,L2,,5:5,Gezogen,Geblockt,Strohl Micha,Gustav Svensson,Standart,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 3,Ballbesitzwechsel JA,D1,L3,,5:5,Gezogen,Auf Tor,Martin Mosimann,Lucas Schlegel,Auslösung,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 4,Ballbesitzwechsel JA,D1,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 5,Ballbesitzwechsel NEIN,D2,L2,,5:5,Direkt,Geblockt,Gustav Svensson,Kevin Kropf,Auslösung,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 6,Ballbesitzwechsel NEIN,D2,L3,,5:5,Gezogen,Geblockt,Schwarz Janis,Gian Mühlemann,Auslösung,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 7,Ballbesitzwechsel JA,D2,L2,,5:5,Gezogen,Auf Tor,Kevin Kropf,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 8,Ballbesitzwechsel NEIN,D2,L1,,5:5,Direkt,Geblockt,Thomas Gfeller,Luca Fankhauser,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 9,Ballbesitzwechsel NEIN,D2,L3,,5:5,Gezogen,Auf Tor,Martin Mosimann,Schwarz Janis,Standart,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 10,Ballbesitzwechsel NEIN,D2,PP1,,5:5,Direkt,Auf Tor,Matteo Steiner,,Festsetzen,0.2,,
PF_VF_2_FBTG,Low Q Chance For: 11,Ballbesitzwechsel Nein,D2,PP1,,5:5,Gezogen,Neben Tor,Steiner Simon,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 12,Ballbesitzwechsel NEIN,D2,PP1,,5:5,Gezogen,Geblockt,Matteo Steiner,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 13,Ballbesitzwechsel NEIN,D2,L2,,5:5,Gezogen,Auf Tor,Strohl Micha,Janis Lauber,Festsetzen,0.2,,
PF_VF_2_FBTG,Low Q Chance For: 14,Ballbesitzwechsel NEIN,D2,L2,,5:5,Direkt,Auf Tor,Kevin Kropf,,Festsetzen,0.2,,
PF_VF_2_FBTG,Low Q Chance For: 15,Ballbesitzwechsel NEIN,D3,L1,,5:5,Handgelenk,Auf Tor,Luca Fankhauser,,Festsetzen,0.2,,
PF_VF_2_FBTG,Low Q Chance For: 16,Ballbesitzwechsel JA,D3,L1,,5:5,Gezogen,Geblockt,Luca Fankhauser,Matteo Steiner,Standart,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 17,Ballbesitzwechsel NEIN,D3,L2,,5:5,Gezogen,Geblockt,Maurice Aebersold,,Konter,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 18,Ballbesitzwechsel NEIN,D3,L2,,5:5,Gezogen,Geblockt,Kevin Kropf,Gustav Svensson,Auslösung,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 19,Ballbesitzwechsel JA,D3,L2,,5:5,Gezogen,Auf Tor,Kevin Kropf,,Festsetzen,0.2,,
PF_VF_2_FBTG,Low Q Chance For: 20,Ballbesitzwechsel NEIN,D3,L1,,5:5,Gezogen,Geblockt,Nick Pfister,,Konter,0.2,,
PF_VF_2_FBTG,Low Q Chance For: 21,Ballbesitzwechsel NEIN,D3,L1,,5:5,Handgelenk,Geblockt,Luca Fankhauser,Matteo Steiner,Standart,0.2,,
PF_VF_2_FBTG,Low Q Chance For: 22,Ballbesitzwechsel JA,D3,L1,,5:5,Gezogen,Geblockt,Maurice Aebersold,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 23,Ballbesitzwechsel JA,D3,L2,,5:5,Gezogen,Geblockt,Maurice Aebersold,,Festsetzen,0.1,,
PF_VF_2_FBTG,Low Q Chance For: 24,Ballbesitzwechsel JA,D3,L2,,5:5,Gezogen,Geblockt,Gustav Svensson,,Konter,0.1,,
PF_VF_2_FBTG,Mid Q Chance Against: 1,Ballbesitzwechsel JA,D1,L1,,5:5,Handgelenk,Neben Tor,,,Auslösung,0.3,,
PF_VF_2_FBTG,Mid Q Chance Against: 2,Ballbesitzwechsel NEIN,D1,L2,,5:5,Gezogen,Geblockt,Janis Lauber,,Auslösung,0.3,,
PF_VF_2_FBTG,Mid Q Chance Against: 3,Ballbesitzwechsel NEIN,D1,L1,,5:5,Direkt,Neben Tor,,,Festsetzen,0.3,,
PF_VF_2_FBTG,Mid Q Chance Against: 4,Ballbesitzwechsel NEIN,D2,L3,,5:5,Direkt,Auf Tor,,,Konter,0.2,,
PF_VF_2_FBTG,Mid Q Chance Against: 5,Ballbesitzwechsel NEIN,D2,L3,,5:5,Handgelenk,Auf Tor,,,Konter,0.3,,
PF_VF_2_FBTG,Mid Q Chance For: 1,Ballbesitzwechsel JA,D1,L2,,5:5,Direkt,Auf Tor,Steiner Simon,Janis Lauber,Festsetzen,0.3,,
PF_VF_2_FBTG,Mid Q Chance For: 2,Ballbesitzwechsel NEIN,D1,L2,,5:5,Gezogen,Geblockt,Kevin Kropf,Micha Strohl,Standart,0.3,,
PF_VF_2_FBTG,Mid Q Chance For: 3,Ballbesitzwechsel NEIN,D1,L1,,5:5,Handgelenk,Neben Tor,Matteo Steiner,,Konter,0.3,,
PF_VF_2_FBTG,Mid Q Chance For: 4,Ballbesitzwechsel JA,D2,PP1,,5:5,Direkt,Auf Tor,Thomas Gfeller,,Festsetzen,0.3,,
PF_VF_2_FBTG,Mid Q Chance For: 5,Ballbesitzwechsel JA,D2,L2,,5:5,Direkt,Auf Tor,Janis Lauber,,Festsetzen,0.3,,
PF_VF_2_FBTG,Mid Q Chance For: 6,Ballbesitzwechsel NEIN,D3,L1,,5:5,Direkt,Neben Tor,Matteo Steiner,Nick Pfister,Auslösung,0.3,,
PF_VF_2_FBTG,Nachsetzen Tigers: 1,Ballbesitzwechsel NEIN,D1,L2,Bad,5:5,,,Janis Lauber,,Nachsetzen,,,
PF_VF_2_FBTG,Nachsetzen Tigers: 2,Ballbesitzwechsel NEIN,D1,L1,Good,5:5,,,Thomas Gfeller,Matteo Steiner,Nachsetzen,,,
PF_VF_2_FBTG,Nachsetzen Tigers: 3,Ballbesitzwechsel JA,D1,L1,Bad,5:5,,,Nick Pfister,Lukas Münger,Nachsetzen,,,
PF_VF_2_FBTG,Nachsetzen Tigers: 4,Ballbesitzwechsel NEIN,D1,L2,Bad,5:5,,,Janis Lauber,,Nachsetzen,,,
PF_VF_2_FBTG,Nachsetzen Tigers: 5,Ballbesitzwechsel NEIN,D2,L1,Bad,5:5,,,Nick Pfister,Matteo Steiner,Nachsetzen,,,
PF_VF_2_FBTG,Nachsetzen Tigers: 6,Ballbesitzwechsel JA,D3,L2,Good,5:5,,,Janis Lauber,Kevin Kropf,Nachsetzen,,,
PF_VF_2_FBTG,Pot + Chance For: 1,Ballbesitzechsel Nein,D1,L1,,5:5,Direkt,,Nick Pfister,Matteo Steiner,Standart,0.1,,
PF_VF_2_FBTG,Pot + Chance For: 2,Ballbesitzwechsel NEIN,D2,L1,,5:5,Direkt,Neben Tor,Thomas Gfeller,Matteo Steiner,Konter,0.3,,
PF_VF_2_FBTG,Tor Gegner: 1,,D1,L2,,5:5,Gezogen,,,,Festsetzen,0.2,,
PF_VF_2_FBTG,Tor Gegner: 2,,D2,L3,,5:5,Direkt,,,,Konter,0.5,,
PF_VF_2_FBTG,Tor Gegner: 3,,D2,L2,,5:5,Direkt,,,,Konter,0.5,,
PF_VF_2_FBTG,Tor Gegner: 4,,D2,L2,,5:5,Handgelenk,,,,Auslösung,0.2,,
PF_VF_2_FBTG,Tor Gegner: 5,,D2,BP2,,4:5,Direkt,,,,,0.4,,
PF_VF_2_FBTG,Tor Gegner: 6,,D3,L1,,5:5,Handgelenk,,,,Konter,0.1,,
PF_VF_2_FBTG,Tor Gegner: 7,,D3,L1,,5:5,Gezogen,,,,Auslösung,0.2,,
PF_VF_2_FBTG,Tor Gegner: 8,,D3,L2,,5:5,Gezogen,,,,Konter,0.2,,
PF_VF_2_FBTG,Tor Gegner: 9,,D3,6:5,,6:5,Gezogen,,,,,0.8,,
PF_VF_2_FBTG,Tor Gegner: 10,,D3,L2,,5:5,Gezogen,,,,Standart,0.1,,
PF_VF_2_FBTG,Tor Tigers: 1,,D1,L1,,5:5,Direkt,,Nick Pfister,Matteo Steiner,Auslösung,0.4,,
PF_VF_2_FBTG,Tor Tigers: 2,,D1,L3,,5:5,Gezogen,,Schwarz Janis,Martin Mosimann,Zone-Exits,0.2,,
