Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS9 GC H,Mid Q Chance For: 12,Ballbesitzwechsel Ja,OT,L2,,5:5,Volley,Auf Tor,Christian Stucki,,Auslösung,0.4,,
MS9 GC H,Nachsetzen Tigers: 1,Ballbesitzwechsel Nein,D1,L3,Bad,5:5,,,Matteo Steiner,Christian Stucki,Auslösung,,,
MS9 GC H,Tor Gegner: 1,,D1,L3,,5:5,Gezogen,,,,Auslösung,0.3,,
MS9 GC H,Tor Gegner: 2,,D1,L2,,5:5,Direkt,,,,Auslösung,0.4,,
MS9 GC H,Tor Gegner: 3,,D1,L3,,5:5,Gezogen,,,,Auslösung,0.6,,
MS9 GC H,Tor Gegner: 4,,D1,PP1,,5:5,Gezogen,,,,Konter,0.5,,
MS9 GC H,Tor Gegner: 5,,D2,L1,,4:5,Volley,,,,,0.4,,
MS9 GC H,Tor Gegner: 6,,D3,L2,,5:5,Volley,,,,Konter,0.4,,
MS9 GC H,Tor Gegner: 7,,OT,L1,,5:5,Direkt,,,,Auslösung,0.6,,
MS9 GC H,Tor Tigers: 1,,D1,L2,,5:5,Handgelenk,,Luca Fankhauser,Janis Lauber,Auslösung,0.3,,
MS9 GC H,Tor Tigers: 2,,D1,L2,,5:5,Gezogen,,Lukas Münger,Luca Fankhauser,Standart,0.3,,
MS9 GC H,Tor Tigers: 3,,D2,L1,,5:5,Volley,,Steiner Simon,"Kevin Kropf, Kevin Kropf",Konter,0.3,,
MS9 GC H,Tor Tigers: 4,,D2,BP1,,4:5,Gezogen,,Gustav Svensson,Steiner Simon,,0.6,,
MS9 GC H,Tor Tigers: 5,,D3,L2,,5:5,Direkt,,Nick Pfister,Nick Pfister,Konter,0.5,,
MS9 GC H,Tor Tigers: 6,,D3,BP1,,4:5,Gezogen,,,Matteo Steiner,Konter,0.4,,
MS9 GC H,ZOE For: 1,Ballbesitzwechsel Nein,D1,L3,,5:5,,,Gian Mühlemann,Christian Stucki,Auslösung,,Good,
MS9 GC H,ZOE For: 2,Ballbesitzwechsel Nein,D1,L2,,5:5,,,Lukas Münger,Luca Fankhauser,Auslösung,,Good,
