Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS11_Basel,Low Q Chance For: 9,Ballbesitzwechsel Ja,D1,L1,,5:5,Handgelenk,Auf Tor,Steiner Luca,Steiner Simon,Konter,0.1,,
MS11_Basel,Low Q Chance For: 10,Ballbesitzwechsel Nein,D1,L2,,5:5,Gezogen,Geblockt,Lukas Münger,"Janis Lauber, Janis Lauber",Auslösung,0.1,,
MS11_Basel,Low Q Chance For: 11,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Geblockt,Nick Pfister,Schwarz Janis,Festsetzen,0.1,,
MS11_Basel,Low Q Chance For: 12,Ballbesitzwechsel Nein,D2,L2,,5:5,Gezogen,Auf Tor,Daniel Hernandez,Lukas Münger,Auslösung,0.2,,
MS11_Basel,Low Q Chance For: 13,Ballbesitzwechsel Nein,D1,L1,,5:5,Gezogen,Neben Tor,Steiner Simon,Kevin Kropf,Festsetzen,0.1,,
MS11_Basel,Low Q Chance For: 14,Ballbesitzwechsel Ja,D2,L2,,5:5,Handgelenk,Auf Tor,Luca Fankhauser,Lukas Münger,Auslösung,0.2,,
MS11_Basel,Low Q Chance For: 15,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Geblockt,Nick Pfister,Lukas Münger,Auslösung,0.2,,
MS11_Basel,Low Q Chance For: 16,Ballbesitzwechsel Ja,D2,L1,,5:5,Direkt,Neben Tor,Steiner Luca,Kevin Kropf,Auslösung,0.2,,
MS11_Basel,Low Q Chance For: 17,Ballbesitzwechsel Nein,D2,PP1,,5:4,Gezogen,Auf Tor,Kevin Kropf,Janis Lauber,,0.1,,
MS11_Basel,Low Q Chance For: 18,Ballbesitzwechsel Nein,D2,L3,,5:5,Gezogen,Geblockt,Christian Stucki,Maurice Aebersold,Festsetzen,0.2,,
MS11_Basel,Low Q Chance For: 19,Ballbesitzwechsel Nein,D2,BP1,,4:5,Gezogen,Auf Tor,Thomas Gfeller,,,0.1,,
MS11_Basel,Low Q Chance For: 20,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Geblockt,Björn Schenkel,Steiner Luca,Auslösung,0.1,,
MS11_Basel,Low Q Chance For: 21,Ballbesitzwechsel Ja,D2,L3,,5:5,Gezogen,Neben Tor,Schwarz Janis,,Festsetzen,0.1,,
MS11_Basel,Low Q Chance For: 22,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Neben Tor,Daniel Hernandez,Luca Fankhauser,Auslösung,0.2,,
MS11_Basel,Low Q Chance For: 23,Ballbesitzwechsel Ja,D3,L2,,5:5,Gezogen,Neben Tor,Lukas Münger,Nick Pfister,Auslösung,0.1,,
MS11_Basel,Low Q Chance For: 24,Ballbesitzwechsel Ja,D3,L2,,5:5,Gezogen,Geblockt,Lukas Münger,Daniel Hernandez,Auslösung,0.1,,
MS11_Basel,Low Q Chance For: 25,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Auf Tor,Thomas Gfeller,,Konter,0.1,,
MS11_Basel,Low Q Chance For: 26,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Auf Tor,Simon Steiner,Kevin Kropf,Konter,0.1,,
MS11_Basel,Low Q Chance For: 27,Ballbesitzwechsel Nein,D3,L1,,5:5,Gezogen,Auf Tor,Björn Schenkel,,Standart,0.1,,
MS11_Basel,Low Q Chance For: 28,Ballbesitzwechsel Nein,D3,L3,,5:5,Direkt,Neben Tor,Christian Stucki,Schwarz Janis,Konter,0.2,,
MS11_Basel,Mid Q Chance Against: 1,Ballbesitzwechsel Ja,D1,L1,,5:5,Direkt,Auf Tor,,,Konter,0.3,,
MS11_Basel,Mid Q Chance Against: 2,Ballbesitzwechsel Ja,D2,L2,,5:5,Direkt,Auf Tor,,,Auslösung,0.3,,
MS11_Basel,Mid Q Chance Against: 3,Ballbesitzwechsel Ja,D3,L2,,5:5,Handgelek,Auf Tor,,,Konter,0.4,,
MS11_Basel,Mid Q Chance For: 1,Ballbesitzwechsel Ja,D1,L2,,5:5,Gezogen,Auf Tor,Janis Lauber,Nick Pfister,Konter,0.4,,
MS11_Basel,Mid Q Chance For: 2,Ballbesitzwechsel Ja,D2,L3,,5:5,Direkt,Neben Tor,Gian Mühlemann,Schwarz Janis,Auslösung,0.4,,
MS11_Basel,Mid Q Chance For: 3,Ballbesitzwechsel Nein,D3,L2,,5:5,Gezogen,Auf Tor,Nick Pfister,Janis Lauber,Konter,0.3,,
MS11_Basel,Mid Q Chance For: 4,Ballbesitzwechsel Nein,D3,L1,,5:5,Handgelenk,Auf Tor,Kevin Kropf,Thomas Gfeller,Festsetzen,0.4,,
MS11_Basel,Pot + Chance For: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,Direkt,,Nick Pfister,Luca Fankhauser,Konter,0.2,,
MS11_Basel,Pressing: 1,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Kevin Kropf,Thomas Gfeller,Pressing,,,
MS11_Basel,Tor Gegner: 1,,D1,BP1,,4:5,Handgelenk,,,,Konter,0.3,,
MS11_Basel,Tor Gegner: 2,,D2,L3,,5:5,Direkt,,,,Konter,0.5,,
MS11_Basel,Tor Gegner: 3,,D2,L1,,5:5,Direkt,,,,Konter,0.4,,
MS11_Basel,Tor Gegner: 4,,D3,L2,,5:5,Direkt,,,,Pressing,0.6,,
MS11_Basel,Tor Tigers: 1,,D1,L2,,5:5,Direkt,,Schwarz Janis,Nick Pfister,Konter,0.4,,
MS11_Basel,Tor Tigers: 2,,D1,L3,,5:5,Direkt,,Gian Mühlemann,Matteo Steiner,Standart,0.3,,
MS11_Basel,Tor Tigers: 3,,D2,L2,,5:5,Direkt,,Janis Lauber,Daniel Hernandez,Festsetzen,0.4,,
MS11_Basel,Tor Tigers: 4,,D2,PP1,,5:4,Gezogen,,Thomas Gfeller,Steiner Simon,,0.3,,
MS11_Basel,Tor Tigers: 5,,D2,L2,,5:5,Handgelenk,,Daniel Hernandez,Nick Pfister,Konter,0.4,,
MS11_Basel,Tor Tigers: 6,,D3,L1,,5:5,Gezogen,,Steiner Luca,Kevin Kropf,Festsetzen,0.3,,
MS11_Basel,Tor Tigers: 7,,D3,L1,,5:5,Handgelenk,,Björn Schenkel,Thomas Gfeller,Auslösung,0.3,,
MS11_Basel,Tor Tigers: 8,,D3,L1,,5:5,Gezogen,,Thomas Gfeller,Björn Schenkel,Festsetzen,0.4,,
MS11_Basel,Tor Tigers: 9,,D3,L1,,5:6,Gezogen,,Kevin Kropf,,,0.6,,
MS11_Basel,ZOE For: 1,Ballbesitzwechsel Nein,D1,L2,,5:5,,,Janis Lauber,Luca Fankhauser,Auslösung,,Bad,
MS11_Basel,ZOE For: 2,Ballbesitzwechsel Nein,D1,L2,,5:5,,,Lukas Münger,Janis Lauber,Auslösung,,Good,
MS11_Basel,ZOE For: 3,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Steiner Luca,Kevin Kropf,Auslösung,,Bad,
MS11_Basel,ZOE For: 4,Ballbesitzwechsel Ja,D1,L2,,5:5,,,Lukas Münger,Janis Lauber,Auslösung,,Bad,
MS11_Basel,ZOE For: 5,Ballbesitzwechsel Nein,D1,L2,,5:5,,,Janis Lauber,Luca Fankhauser,Auslösung,0.2,Good,
MS11_Basel,ZOE For: 6,Ballbesitzwechsel Nein,D1,L2,,5:5,,,Janis Lauber,Lukas Münger,Auslösung,,Good,
MS11_Basel,ZOE For: 7,Ballbesitzwechsel Nein,D2,L1,,5:5,,,Steiner Luca,Thomas Gfeller,Auslösung,,Good,
MS11_Basel,ZOE For: 8,Ballbesitzwechsel Nein,D2,L2,,5:5,,,Luca Fankhauser,,Auslösung,,Good,
