Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PF_SF_Zug,Low Q Chance For: 34,Ballbesitzwechsel Nein,D3,6:5,,6:5,Gezogen,Auf Tor,Steiner Simon,,,0.1,,
PF_SF_Zug,Mid Q Chance Against: 1,Ballbesitzwechsel Ja,D1,L1,,5:5,Gezogen,Neben Tor,,,Konter,0.3,,
PF_SF_Zug,Mid Q Chance Against: 2,Ballbesitzwechsel Nein,D1,L1,,5:5,Direkt,Neben Tor,,,Auslösung,0.3,,
PF_SF_Zug,Mid Q Chance Against: 3,Ballbesitzwechsel Nein,D1,L2,,5:5,Direkt,Geblockt,Janis Lauber,,Standart,0.3,,
PF_SF_Zug,Mid Q Chance Against: 4,Ballbesitzwechsel Nein,D3,L2,,5:5,Gezogen,Neben Tor,Luca Fankhauser,,Konter,0.3,,
PF_SF_Zug,Mid Q Chance For: 1,Ballbesitzwechsel Nein,D1,PP1,,5:4,Direkt,Auf Tor,Thomas Gfeller,Steiner Simon,,0.3,,
PF_SF_Zug,Mid Q Chance For: 2,Ballbesitzwechsel Nein,D2,L1,,5:5,Gezogen,Neben Tor,Matteo Steiner,Thomas Gfeller,Konter,0.3,,
PF_SF_Zug,Mid Q Chance For: 3,Ballbesitzwechsel Ja,D2,L2,,5:5,Gezogen,Auf Tor,Janis Lauber,Kevin Kropf,Standart,0.3,,
PF_SF_Zug,Nachsetzen Tigers: 1,Ballbesitzwechsel Ja,D1,L1,Good,5:5,,,Thomas Gfeller,Nick Pfister,Nachsetzen,,,
PF_SF_Zug,Nachsetzen Tigers: 2,Ballbesitzwechsel Nein,D1,L2,Good,5:5,,,Steiner Simon,,Nachsetzen,,,
PF_SF_Zug,Nachsetzen Tigers: 3,Ballbesitzwechsel Ja,D1,L1,Good,5:5,,,Thomas Gfeller,Matteo Steiner,Nachsetzen,,,
PF_SF_Zug,Nachsetzen Tigers: 4,Ballbesitzwechsel Nein,D1,L3,Good,5:5,,,Gian Mühlemann,Christian Stucki,Nachsetzen,,,
PF_SF_Zug,Nachsetzen Tigers: 5,Ballbesitzwechsel Ja,D3,L2,Good,5:5,,,Micha Strohl,,Nachsetzen,,,
PF_SF_Zug,Pot + Chance Against: 1,Ballbesitzwechsel Ja,D3,L1,,5:5,Volley,,,,Auslösung,0.3,,
PF_SF_Zug,Pot + Chance For: 1,Ballbesitzechsel Nein,D1,L1,,5:5,Volley,,Nick Pfister,Matteo Steiner,Auslösung,0.3,,
PF_SF_Zug,Pot + Chance For: 2,Ballbesitzwechsel Nein,D2,L1,,5:5,Volley,Neben Tor,Nick Pfister,Matteo Steiner,Konter,0.2,,
PF_SF_Zug,Pot + Chance For: 3,Ballbesitzwechsel Nein,D2,L2,,5:5,Direkt,Geblockt,Steiner Simon,Kevin Kropf,Standart,0.3,,
PF_SF_Zug,Pot + Chance For: 4,Ballbesitzwechsel Ja,D2,L1,,5:5,Direkt,,Matteo Steiner,Luca Fankhauser,Auslösung,0.4,,
PF_SF_Zug,Pot + Chance For: 5,Ballbesitzwechsel Nein,D3,6:5,,6:5,Volley,,Thomas Gfeller,,Pressing,0.3,,
PF_SF_Zug,Pressing: 1,Ballbesitzwechsel Nein,D2,L3,Bad,5:5,,,Christian Stucki,Schwarz Janis,Pressing,,,
PF_SF_Zug,Pressing: 2,Ballbesitzechsel Nein,D2,L2,Good,5:5,,,Kevin Kropf,Janis Lauber,Pressing,,,
PF_SF_Zug,Pressing: 3,Ballbesitzwechsel Ja,D3,L2,Good,5:5,,,Kevin Kropf,Steiner Simon,Pressing,,,
PF_SF_Zug,Tor Gegner: 1,,D1,L1,,5:5,Gezogen,,,,Standart,0.1,,
PF_SF_Zug,Tor Gegner: 2,,D1,L3,,5:5,Gezogen,,,,Nachsetzen,0.1,,
PF_SF_Zug,Tor Gegner: 3,,D1,L1,,5:5,Direkt,,,,Festsetzen,0.5,,
PF_SF_Zug,Tor Gegner: 4,,D2,L2,,5:5,Direkt,,,,Auslösung,0.3,,
PF_SF_Zug,Tor Gegner: 5,,D2,L3,,5:5,Volley,,,,Festsetzen,0.4,,
PF_SF_Zug,Tor Gegner: 6,,D2,L1,,5:5,Gezogen,,,,Auslösung,0.3,,
PF_SF_Zug,Tor Gegner: 7,,D2,L2,,5:6,Direkt,,,,Auslösung,0.5,,
PF_SF_Zug,Tor Gegner: 8,,D3,L2,,5:5,Direkt,,,,Standart,0.3,,
PF_SF_Zug,Tor Gegner: 9,,D3,BP1,,4:5,Direkt,,,,,0.4,,
PF_SF_Zug,Tor Tigers: 1,,D1,PP1,,5:4,Gezogen,,Steiner Simon,Janis Lauber,,0.2,,
PF_SF_Zug,Tor Tigers: 2,,D1,L2,,5:5,Direkt,,Janis Lauber,Gustav Svensson,Festsetzen,0.5,,
PF_SF_Zug,Tor Tigers: 3,,D2,L1,,5:5,Direkt,,Thomas Gfeller,Nick Pfister,Konter,0.5,,
PF_SF_Zug,Tor Tigers: 4,,D2,L2,,5:5,Direkt,,Kevin Kropf,Steiner Simon,Auslösung,0.4,,
PF_SF_Zug,Tor Tigers: 5,,D3,L1,,5:5,Direkt,,Thomas Gfeller,Matteo Steiner,Festsetzen,0.4,,
PF_SF_Zug,Tor Tigers: 6,,D3,6:5,,6:5,Direkt,,Kevin Kropf,Steiner Simon,,0.5,,
PF_SF_Zug,Tor Tigers: 7,,D3,6:5,,6:5,Gezogen,,Janis Lauber,,,0.2,,
PF_SF_Zug,Tor Tigers: 8,,D3,6:5,,6:5,Volley,,Steiner Simon,Janis Lauber,,0.4,,
PF_SF_Zug,ZOE For: 1,Ballbesitzwechsel Nein,D1,L3,,5:5,,,Micha Strohl,Schwarz Janis,Auslösung,,Good,
PF_SF_Zug,ZOE For: 2,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Luca Fankhauser,Thomas Gfeller,Auslösung,,Good,
PF_SF_Zug,ZOE For: 3,Ballbesitzwechsel Nein,D1,L2,,5:5,,,Gustav Svensson,Janis Lauber,Auslösung,,Good,
PF_SF_Zug,ZOE For: 4,Ballbesitzwechsel Ja,D1,L2,,5:5,,,Gustav Svensson,Kevin Kropf,Auslösung,,Bad,
PF_SF_Zug,ZOE For: 5,Ballbesitzwechsel Ja,D1,L2,,5:5,,,Maurice Aebersold,,Auslösung,,Bad,
PF_SF_Zug,ZOE For: 6,Ballbesitzwechsel Nein,D1,L3,,5:5,,,Gian Mühlemann,Christian Stucki,Auslösung,,Good,
PF_SF_Zug,ZOE For: 7,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Maurice Aebersold,Steiner Simon,Auslösung,,Good,
PF_SF_Zug,ZOE For: 8,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Luca Fankhauser,Nick Pfister,Auslösung,,Good,
PF_SF_Zug,ZOE For: 9,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Luca Fankhauser,Thomas Gfeller,Auslösung,,Bad,
